Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
10.00 - 11.00,"948,042,900",50.19%,6,4.51%,,,,,,,,,,,
9.00 - 10.00,"23,430,200",1.24%,2,1.50%,,,,,,,,,,,
8.00 - 9.00,"58,091,100",3.08%,6,4.51%,,,,,,,,,,,
7.00 - 8.00,"179,075,900",9.48%,19,14.29%,,,,,,,,,,,
6.00 - 7.00,"381,894,700",20.22%,30,22.56%,,,,,,,,,,,
5.00 - 6.00,"211,338,700",11.19%,36,27.07%,,,,,,,,,,,
4.00 - 5.00,"84,176,200",4.46%,31,23.31%,,,,,,,,,,,
3.00 - 4.00,"3,021,200",0.16%,3,2.26%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BBGI.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,10.80,18-มี.ค.-2022,Max,"595,345,800",18-มี.ค.-2022,Advancing,"665,216,300",Up,48,Up,+23.08%,28-มิ.ย.-2024,Max,"6,222,827,940.00",18-มี.ค.-2022
Low,3.88,15-ธ.ค.-2023,Min,"336,200",05-พ.ค.-2023,Declining,"572,928,900",Down,67,Down,-21.01%,26-ก.ค.-2024,Min,"1,350,400.00",08-ธ.ค.-2023
Avg,6.05,,Avg,"14,203,541",,Total,"1,889,070,900",Unch,17,Period,-34.16%,10 Years,Avg,"119,732,816.92",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BBGI.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
09-ธ.ค.-2022,6.40,-0.10,-1.54%,6.50,6.30,6.55,"1,753,800","11,265,890.00","-144,791,255.00",,,,,,
02-ธ.ค.-2022,6.50,+0.35,+5.69%,6.15,6.15,6.50,"4,358,000","27,847,375.00","-133,525,365.00",,,,,,
25-พ.ย.-2022,6.15,-0.05,-0.81%,6.20,6.05,6.25,"3,765,100","23,129,520.00","-161,372,740.00",,,,,,
18-พ.ย.-2022,6.20,0.00,0.00%,6.20,6.05,6.30,"4,200,800","25,834,680.00","-138,243,220.00",,,,,,
11-พ.ย.-2022,6.20,-0.20,-3.13%,6.45,6.10,6.85,"24,960,400","163,238,390.00","-112,408,540.00",,,,,,
04-พ.ย.-2022,6.40,-0.15,-2.29%,6.55,6.25,6.60,"5,131,600","32,675,420.00","50,829,850.00",,,,,,
28-ต.ค.-2022,6.55,+0.05,+0.77%,6.50,6.45,6.60,"1,289,100","8,410,050.00","83,505,270.00",,,,,,
21-ต.ค.-2022,6.50,+0.15,+2.36%,6.40,6.35,6.65,"1,560,200","10,160,650.00","75,095,220.00",,,,,,
14-ต.ค.-2022,6.35,-0.25,-3.79%,6.60,6.30,6.60,"2,095,800","13,440,545.00","64,934,570.00",,,,,,
07-ต.ค.-2022,6.60,-0.25,-3.65%,6.80,6.55,6.80,"3,824,800","25,362,275.00","78,375,115.00",,,,,,
30-ก.ย.-2022,6.85,-0.40,-5.52%,7.25,6.70,7.25,"9,712,100","67,474,305.00","103,737,390.00",,,,,,
23-ก.ย.-2022,7.25,+0.05,+0.69%,7.25,7.15,7.35,"2,489,200","18,048,800.00","171,211,695.00",,,,,,
16-ก.ย.-2022,7.20,-0.10,-1.37%,7.30,7.20,7.35,"3,106,100","22,595,710.00","153,162,895.00",,,,,,
09-ก.ย.-2022,7.30,+0.05,+0.69%,7.30,7.25,7.50,"4,127,900","30,382,715.00","175,758,605.00",,,,,,
02-ก.ย.-2022,7.25,-0.45,-5.84%,7.55,7.15,7.65,"8,106,700","59,438,380.00","145,375,890.00",,,,,,
26-ส.ค.-2022,7.70,+0.05,+0.65%,7.65,7.45,7.95,"3,630,300","27,877,720.00","204,814,270.00",,,,,,
19-ส.ค.-2022,7.65,+0.25,+3.38%,7.40,7.35,7.90,"3,662,800","28,200,355.00","176,936,550.00",,,,,,
12-ส.ค.-2022,7.40,-0.30,-3.90%,7.70,7.35,7.70,"2,544,500","19,045,430.00","148,736,195.00",,,,,,
05-ส.ค.-2022,7.70,+0.15,+1.99%,7.55,7.40,7.95,"5,791,900","44,596,850.00","167,781,625.00",,,,,,
29-ก.ค.-2022,7.55,+0.25,+3.42%,7.30,7.30,7.60,"3,214,300","23,954,140.00","123,184,775.00",,,,,,
22-ก.ค.-2022,7.30,-0.15,-2.01%,7.45,7.15,7.55,"3,986,400","29,284,490.00","99,230,635.00",,,,,,
15-ก.ค.-2022,7.45,-0.15,-1.97%,7.65,7.40,7.65,"1,648,500","12,379,835.00","128,515,125.00",,,,,,
08-ก.ค.-2022,7.60,-0.55,-6.75%,8.10,7.50,8.10,"4,934,800","38,027,410.00","140,894,960.00",,,,,,
01-ก.ค.-2022,8.15,+0.30,+3.82%,7.85,7.85,8.15,"4,084,500","32,809,360.00","178,922,370.00",,,,,,
24-มิ.ย.-2022,7.85,-0.10,-1.26%,7.95,7.75,8.05,"4,021,700","31,748,325.00","146,113,010.00",,,,,,
17-มิ.ย.-2022,7.95,-0.85,-9.66%,8.70,7.75,8.70,"12,854,200","105,424,185.00","177,861,335.00",,,,,,
10-มิ.ย.-2022,8.80,-0.10,-1.12%,8.90,8.70,9.10,"9,061,500","80,709,110.00","283,285,520.00",,,,,,
03-มิ.ย.-2022,8.90,+0.35,+4.09%,8.60,8.60,9.05,"7,252,400","64,081,610.00","363,994,630.00",,,,,,
27-พ.ค.-2022,8.55,-0.30,-3.39%,8.95,8.45,8.95,"8,761,000","75,521,145.00","299,913,020.00",,,,,,
20-พ.ค.-2022,8.85,+0.60,+7.27%,8.35,8.30,8.95,"6,669,900","57,487,645.00","375,434,165.00",,,,,,
13-พ.ค.-2022,8.25,-1.15,-12.23%,9.45,8.25,9.50,"22,261,800","194,956,780.00","317,946,520.00",,,,,,
06-พ.ค.-2022,9.40,-0.40,-4.08%,9.80,9.35,9.85,"7,672,900","73,616,635.00","512,903,300.00",,,,,,
29-เม.ย.-2022,9.80,-0.30,-2.97%,10.00,9.70,10.10,"15,757,300","155,606,965.00","586,519,935.00",,,,,,
22-เม.ย.-2022,10.10,-0.30,-2.88%,10.20,9.95,10.20,"12,485,700","125,318,140.00","742,126,900.00",,,,,,
15-เม.ย.-2022,10.40,+0.40,+4.00%,10.00,9.90,10.40,"17,937,000","181,213,950.00","867,445,040.00",,,,,,
08-เม.ย.-2022,10.00,0.00,0.00%,10.10,9.90,10.20,"32,252,000","323,852,670.00","686,231,090.00",,,,,,
01-เม.ย.-2022,10.00,-0.40,-3.85%,10.40,9.85,10.50,"96,902,000","986,081,630.00","1,010,083,760.00",,,,,,
25-มี.ค.-2022,10.40,+0.30,+2.97%,10.20,10.00,10.60,"193,120,400","1,996,165,390.00","1,996,165,390.00",,,,,,
18-มี.ค.-2022,10.10,,,10.10,9.85,10.80,"595,345,800","6,222,827,940.00",0.00,,,,,,
