CPT Drives And Power PCL | Price History                                          12-Sep-2024 14:23,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CPT.BK,,,,,,,,,,,,,,,
Interval: Weekly,,,,,,,,,,,,,,,
History Period: 10 Years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VAP: Total,"11,834,774,600",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
2.50 - 3.00,"439,147,600",3.71%,7,1.99%,,,,,,,,,,,
2.00 - 2.50,"1,935,051,900",16.35%,29,8.24%,,,,,,,,,,,
1.50 - 2.00,"153,531,500",1.30%,6,1.70%,,,,,,,,,,,
1.00 - 1.50,"6,421,622,300",54.26%,48,13.64%,,,,,,,,,,,
0.50 - 1.00,"2,885,421,300",24.38%,262,74.43%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CPT.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,2.96,27-ก.ค.-2018,Max,"1,218,972,600",08-ก.พ.-2019,Advancing,"6,733,809,600",Up,130,Up,+40.48%,08-ก.พ.-2019,Max,"1,419,580,063.00",08-ก.พ.-2019
Low,0.50,13-มี.ค.-2020,Min,"79,100",14-เม.ย.-2023,Declining,"4,223,017,700",Down,173,Down,-21.17%,24-ส.ค.-2018,Min,"56,374.00",14-เม.ย.-2023
Avg,1.01,,Avg,"33,621,519",,Total,"11,834,774,600",Unch,48,Period,-66.97%,10 Years,Avg,"44,586,996.57",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CPT.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - THB,Flow,,,,,,
12-พ.ค.-2023,0.72,+0.01,+1.41%,0.71,0.70,0.74,"719,900","521,344.00","3,959,628,201.00",,,,,,
05-พ.ค.-2023,0.71,-0.01,-1.39%,0.71,0.68,0.73,"311,500","216,383.00","3,959,106,857.00",,,,,,
28-เม.ย.-2023,0.72,-0.02,-2.70%,0.74,0.70,0.74,"920,500","656,335.00","3,959,323,240.00",,,,,,
21-เม.ย.-2023,0.74,+0.03,+4.23%,0.71,0.71,0.74,"894,800","647,675.00","3,959,979,575.00",,,,,,
14-เม.ย.-2023,0.71,+0.01,+1.43%,0.70,0.70,0.72,"79,100","56,374.00","3,959,331,900.00",,,,,,
07-เม.ย.-2023,0.70,-0.03,-4.11%,0.71,0.70,0.73,"753,100","542,621.00","3,959,275,526.00",,,,,,
31-มี.ค.-2023,0.73,+0.02,+2.82%,0.71,0.71,0.74,"287,300","209,682.00","3,959,818,147.00",,,,,,
24-มี.ค.-2023,0.71,0.00,0.00%,0.70,0.69,0.72,"459,900","320,780.00","3,959,608,465.00",,,,,,
17-มี.ค.-2023,0.71,-0.01,-1.39%,0.71,0.69,0.72,"628,800","442,640.00","3,959,929,245.00",,,,,,
10-มี.ค.-2023,0.72,-0.01,-1.37%,0.73,0.71,0.74,"232,900","168,853.00","3,960,371,885.00",,,,,,
03-มี.ค.-2023,0.73,-0.01,-1.35%,0.73,0.71,0.75,"581,400","422,907.00","3,960,540,738.00",,,,,,
24-ก.พ.-2023,0.74,0.00,0.00%,0.73,0.72,0.75,"709,400","517,011.00","3,960,963,645.00",,,,,,
17-ก.พ.-2023,0.74,-0.01,-1.33%,0.75,0.73,0.75,"1,374,000","1,019,404.00","3,961,480,656.00",,,,,,
10-ก.พ.-2023,0.75,-0.01,-1.32%,0.76,0.73,0.80,"3,146,100","2,396,534.00","3,962,500,060.00",,,,,,
03-ก.พ.-2023,0.76,-0.01,-1.30%,0.76,0.75,0.77,"1,198,000","909,155.00","3,964,896,594.00",,,,,,
27-ม.ค.-2023,0.77,0.00,0.00%,0.78,0.75,0.81,"1,251,100","977,704.00","3,965,805,749.00",,,,,,
20-ม.ค.-2023,0.77,0.00,0.00%,0.77,0.76,0.80,"537,000","416,214.00","3,966,783,453.00",,,,,,
