Lighting and Equipment PCL | Balance Sheet                                25-Sep-2024 17:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,2004,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
Total Current Assets,"443,603 ","522,018 ","601,348 ","669,380 ","623,317 ","715,364 ","738,926 ","727,573 ","667,222 ","742,629 ","868,004 ","896,468 ","811,939 ","764,942 ","755,392 ","790,453 ","814,810 ","864,416 ","859,406 ","863,710 ","852,718 ","776,991 ","780,338 ","790,453 ","790,784 ","806,383 ","859,553 ","889,561 ","951,379 ","997,433 ","1,223,145 ","1,296,044 ","1,241,164 ","1,161,382 ","1,284,954 ","1,388,112 ","1,234,027 ","1,294,709 ","1,535,768 ","1,615,540 ","1,604,420 ","1,621,335 ","1,852,420 ","1,865,921 ","1,786,591 ","1,817,252 ","1,863,114 ","1,820,604 ","1,702,967 ","1,746,320 ","1,751,662 ","1,612,412 ","1,556,662 ","1,598,443 ","1,765,618 ","1,780,495 ","1,777,902 ","1,814,074 ","1,972,309 ","2,041,172 ","1,807,419 ","1,821,774 ","1,937,928 ","2,013,147 ","1,776,665 ","1,687,891 ","1,743,172 ","1,694,000 ","1,848,449 ","1,992,208 ","1,993,631 ","2,259,943 ","2,451,246 ","2,520,013 ","2,413,925 ","2,271,296 ","2,274,674 ","2,227,772 ","2,222,596 ","2,213,622 ","2,112,165 ","1,960,442 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Property/Plant/Equipment, Total - Gross",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"317,147 ",--,--,--,"350,157 ",--,--,--,"371,462 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Buildings - Gross,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"47,517 ",--,--,--,"59,270 ",--,--,--,"62,582 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Land/Improvements - Gross,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"106,951 ",--,--,--,"106,951 ",--,--,--,"106,951 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Machinery/Equipment - Gross,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"160,766 ",--,--,--,"181,080 ",--,--,--,"201,118 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Construction in Progress - Gross,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,913 ",--,--,--,"2,856 ",--,--,--,811 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Property/Plant/Equipment, Total - Net","105,343 ","108,952 ","109,525 ","114,663 ","122,684 ","128,440 ","161,113 ","160,932 ","158,502 ","156,498 ","166,396 ","183,990 ","203,144 ","222,921 ","227,831 ","228,311 ","234,242 ","239,090 ","247,838 ","251,299 ","266,180 ","261,991 ","256,448 ","249,339 ","243,850 ","239,248 ","239,647 ","251,815 ","249,621 ","250,381 ","246,510 ","241,741 ","309,280 ","313,270 ","312,030 ","315,767 ","315,058 ","328,074 ","354,404 ","373,373 ","453,017 ","570,054 ","698,149 ","861,975 ","933,233 ","955,983 ","967,507 ","1,003,115 ","999,014 ","990,749 ","979,788 ","979,094 ","966,919 ","954,173 ","944,754 ","959,552 ","946,673 ","939,146 ","927,722 ","920,785 ","922,804 ","908,108 ","898,410 ","898,682 ","1,006,375 ","1,020,167 ","1,002,064 ","1,002,680 ","1,008,263 ","1,001,426 ","982,389 ","965,755 ","978,927 ","963,760 ","991,692 ","994,817 ","965,659 ","981,158 ","993,564 ","987,940 ","962,861 ","941,097 "
"Accumulated Depreciation, Total",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(88,836)",--,--,--,"(98,858)",--,--,--,"(122,123)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Intangibles, Net",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,568 ",--,--,--,"6,025 ","6,670 ","8,928 ","8,428 ","8,281 ","8,600 ","8,353 ","7,664 ","6,825 ","6,266 ","5,811 ","5,058 ","4,929 ","7,683 ","8,382 ","7,006 ","6,700 ","6,917 ","9,265 ","7,423 ","7,677 ","6,645 ","6,382 ","5,541 ","4,936 ","4,523 ","3,839 ","5,839 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,"25,787 ","34,133 ","47,548 ","45,876 ","41,541 ","41,129 ","41,130 ","39,456 ","38,201 ","36,521 ","34,714 ","33,121 ","31,420 "
