Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - THB,Flow,,,,,,
26-ส.ค.-2016,11.00,+0.60,+5.77%,10.80,10.30,11.10,"43,833,100","470,904,200.00","19,164,453,855.00",,,,,,
19-ส.ค.-2016,10.40,+0.30,+2.97%,9.90,9.90,10.60,"15,657,500","160,688,430.00","18,693,549,655.00",,,,,,
12-ส.ค.-2016,10.10,-0.20,-1.94%,10.30,9.35,10.40,"26,876,000","264,158,490.00","18,532,861,225.00",,,,,,
05-ส.ค.-2016,10.30,-0.90,-8.04%,10.90,10.30,11.10,"13,994,000","150,146,810.00","18,797,019,715.00",,,,,,
29-ก.ค.-2016,11.20,-0.10,-0.88%,11.40,10.70,12.40,"29,142,400","337,911,280.00","18,947,166,525.00",,,,,,
22-ก.ค.-2016,11.30,+0.60,+5.61%,10.60,10.50,11.30,"10,082,000","110,292,000.00","19,285,077,805.00",,,,,,
15-ก.ค.-2016,10.70,-0.40,-3.60%,10.80,10.10,11.00,"12,065,100","127,387,250.00","19,174,785,805.00",,,,,,
08-ก.ค.-2016,11.10,+0.70,+6.73%,10.40,10.20,11.40,"27,521,100","296,748,720.00","19,302,173,055.00",,,,,,
01-ก.ค.-2016,10.40,+0.80,+8.33%,9.50,9.50,10.50,"14,356,800","144,157,920.00","19,005,424,335.00",,,,,,
24-มิ.ย.-2016,9.60,-0.35,-3.52%,9.95,9.25,9.95,"10,195,100","99,260,995.00","18,861,266,415.00",,,,,,
17-มิ.ย.-2016,9.95,+0.05,+0.51%,9.80,9.70,10.10,"10,326,200","102,607,325.00","18,960,527,410.00",,,,,,
10-มิ.ย.-2016,9.90,-0.90,-8.33%,10.70,9.90,10.90,"16,336,300","169,097,845.00","18,857,920,085.00",,,,,,
03-มิ.ย.-2016,10.80,+0.70,+6.93%,10.10,9.60,10.90,"44,729,000","460,437,590.00","19,027,017,930.00",,,,,,
27-พ.ค.-2016,10.10,-0.30,-2.88%,10.50,10.00,11.70,"154,721,900","1,702,257,130.00","18,566,580,340.00",,,,,,
20-พ.ค.-2016,10.40,+0.40,+4.00%,10.00,9.80,10.90,"68,956,100","717,988,170.00","20,268,837,470.00",,,,,,
13-พ.ค.-2016,10.00,+0.15,+1.52%,9.95,9.50,10.30,"64,072,800","635,604,320.00","19,550,849,300.00",,,,,,
06-พ.ค.-2016,9.85,-0.05,-0.51%,9.95,9.35,10.00,"25,063,900","243,771,655.00","18,915,244,980.00",,,,,,
29-เม.ย.-2016,9.90,-0.20,-1.98%,10.10,9.70,10.60,"73,058,700","744,387,385.00","19,159,016,635.00",,,,,,
22-เม.ย.-2016,10.10,+0.70,+7.45%,9.45,9.45,10.60,"105,153,000","1,057,561,630.00","19,903,404,020.00",,,,,,
15-เม.ย.-2016,9.40,-0.15,-1.57%,9.65,9.40,9.85,"27,802,900","266,525,175.00","18,845,842,390.00",,,,,,
08-เม.ย.-2016,9.55,+0.40,+4.37%,9.20,9.10,10.10,"107,118,900","1,032,772,955.00","19,112,367,565.00",,,,,,
01-เม.ย.-2016,9.15,+0.80,+9.58%,8.35,7.85,9.45,"124,597,700","1,108,944,820.00","18,079,594,610.00",,,,,,
25-มี.ค.-2016,8.35,+0.50,+6.37%,7.85,7.70,8.45,"94,151,200","769,705,795.00","16,970,649,790.00",,,,,,
18-มี.ค.-2016,7.85,+0.50,+6.80%,7.40,7.15,7.85,"54,300,500","409,455,650.00","16,200,943,995.00",,,,,,
11-มี.ค.-2016,7.35,+0.05,+0.68%,7.35,7.05,7.55,"42,752,400","314,999,855.00","15,791,488,345.00",,,,,,
