Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
1.80 - 2.00,"321,094,400",2.88%,4,0.76%,,,,,,,,,,,
1.60 - 1.80,"1,805,232,692",16.17%,25,4.78%,,,,,,,,,,,
1.40 - 1.60,"1,963,265,458",17.58%,65,12.43%,,,,,,,,,,,
1.20 - 1.40,"1,717,680,177",15.38%,68,13.00%,,,,,,,,,,,
1.00 - 1.20,"2,786,625,100",24.95%,102,19.50%,,,,,,,,,,,
0.80 - 1.00,"1,426,763,200",12.78%,88,16.83%,,,,,,,,,,,
0.60 - 0.80,"825,320,100",7.39%,116,22.18%,,,,,,,,,,,
0.40 - 0.60,"320,923,600",2.87%,55,10.52%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TMIm.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,2.07,05-พ.ค.-2023,Max,"402,456,100",23-ก.ค.-2021,Advancing,"7,154,920,401",Up,195,Up,+36.67%,05-มี.ค.-2021,Max,"575,044,782.00",20-ก.ย.-2024
Low,0.50,09-ต.ค.-2020,Min,"214,200",08-พ.ค.-2020,Declining,"3,334,787,572",Down,246,Down,-16.90%,14-ต.ค.-2016,Min,"137,767.00",08-พ.ค.-2020
Avg,1.03,,Avg,"21,351,634",,Total,"11,166,904,727",Unch,81,Period,-17.33%,10 Years,Avg,"31,262,606.00",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TMIm.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
02-มิ.ย.-2023,1.61,-0.05,-3.01%,1.67,1.58,1.78,"67,135,600","112,099,907.00","4,759,692,439.00",,,,,,
26-พ.ค.-2023,1.66,+0.02,+1.22%,1.60,1.54,1.76,"21,631,100","36,403,728.00","4,871,792,346.00",,,,,,
19-พ.ค.-2023,1.64,-0.25,-13.23%,1.83,1.62,1.84,"34,191,300","59,908,245.00","4,835,388,618.00",,,,,,
12-พ.ค.-2023,1.89,-0.08,-3.90%,2.00,1.65,2.00,"88,551,500","178,569,846.00","4,895,296,863.00",,,,,,
05-พ.ค.-2023,1.97,-0.02,-0.84%,1.98,1.93,2.07,"36,280,600","87,202,676.00","5,073,866,709.00",,,,,,
28-เม.ย.-2023,1.98,+0.17,+9.17%,1.85,1.80,2.00,"113,232,700","261,758,452.00","5,161,069,385.00",,,,,,
21-เม.ย.-2023,1.82,+0.13,+7.92%,1.70,1.70,1.88,"83,029,600","180,337,956.00","4,899,310,933.00",,,,,,
14-เม.ย.-2023,1.68,-0.02,-0.98%,1.70,1.67,1.73,"21,949,700","44,757,442.00","4,718,972,977.00",,,,,,
07-เม.ย.-2023,1.70,-0.02,-0.97%,1.73,1.67,1.82,"113,042,000","236,701,940.00","4,763,730,419.00",,,,,,
31-มี.ค.-2023,1.72,+0.10,+6.19%,1.62,1.57,1.75,"73,746,100","147,540,084.00","5,000,432,359.00",,,,,,
24-มี.ค.-2023,1.62,-0.01,-0.51%,1.62,1.61,1.72,"51,796,500","102,871,494.00","4,852,892,275.00",,,,,,
17-มี.ค.-2023,1.62,-0.06,-3.47%,1.70,1.54,1.70,"64,362,600","125,669,521.00","4,955,763,769.00",,,,,,
10-มี.ค.-2023,1.68,-0.02,-0.98%,1.70,1.67,1.78,"86,819,700","179,538,122.00","5,081,433,290.00",,,,,,
03-มี.ค.-2023,1.70,+0.03,+2.00%,1.70,1.62,1.78,"96,610,000","196,461,405.00","5,260,971,412.00",,,,,,
24-ก.พ.-2023,1.67,+0.29,+21.21%,1.37,1.37,1.70,"125,545,200","240,452,950.00","5,064,510,007.00",,,,,,
17-ก.พ.-2023,1.37,-0.07,-4.62%,1.44,1.36,1.46,"12,851,000","21,686,982.00","4,824,057,057.00",,,,,,
10-ก.พ.-2023,1.44,-0.02,-1.14%,1.47,1.42,1.51,"40,770,300","71,967,479.00","4,845,744,039.00",,,,,,
03-ก.พ.-2023,1.46,+0.02,+1.16%,1.46,1.42,1.47,"22,188,400","38,410,667.00","4,917,711,518.00",,,,,,
27-ม.ค.-2023,1.44,+0.03,+2.37%,1.41,1.38,1.50,"55,966,300","97,993,681.00","4,879,300,851.00",,,,,,
20-ม.ค.-2023,1.41,+0.16,+12.67%,1.26,1.23,1.51,"131,157,200","223,838,613.00","4,781,307,170.00",,,,,,
13-ม.ค.-2023,1.25,-0.07,-5.06%,1.33,1.23,1.36,"11,798,200","18,138,000.00","4,557,468,557.00",,,,,,
06-ม.ค.-2023,1.32,+0.07,+6.04%,1.26,1.25,1.41,"14,025,100","21,960,191.00","4,575,606,557.00",,,,,,
30-ธ.ค.-2022,1.24,+0.05,+4.20%,1.20,1.20,1.29,"12,336,100","18,570,137.00","4,553,646,366.00",,,,,,
