Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,13.67,05-มี.ค.-2021,Max,"880,373,714",29-ก.ย.-2017,Advancing,"4,151,494,472",Up,156,Up,+15.08%,15-พ.ค.-2020,Max,"6,082,308,850.00",29-ก.ย.-2017
Low,4.23,27-มี.ค.-2020,Min,"429,380",03-ม.ค.-2020,Declining,"3,612,714,780",Down,173,Down,-11.56%,10-พ.ย.-2017,Min,"2,361,980.00",03-ม.ค.-2020
Avg,7.47,,Avg,"25,290,569",,Total,"9,256,348,194",Unch,36,Period,-5.53%,10 Years,Avg,"208,755,207.30",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
03-ก.พ.-2023,9.09,0.00,0.00%,9.18,9.05,9.36,"12,186,569","111,663,210.00","4,174,441,485.00",,,,,,
27-ม.ค.-2023,9.09,0.00,0.00%,9.09,8.95,9.27,"12,211,319","111,180,790.00","4,286,104,695.00",,,,,,
20-ม.ค.-2023,9.09,-0.18,-1.96%,9.27,9.09,9.36,"9,206,999","84,954,440.00","4,397,285,485.00",,,,,,
13-ม.ค.-2023,9.27,+0.18,+2.00%,9.18,9.09,9.55,"14,728,449","137,096,680.00","4,482,239,925.00",,,,,,
06-ม.ค.-2023,9.09,0.00,0.00%,9.18,9.00,9.27,"5,358,869","48,862,175.00","4,345,143,245.00",,,,,,
30-ธ.ค.-2022,9.09,+0.14,+1.52%,8.95,8.91,9.27,"13,985,509","126,469,970.00","4,296,281,070.00",,,,,,
23-ธ.ค.-2022,8.95,-0.14,-1.50%,9.18,8.82,9.18,"9,231,529","83,081,665.00","4,169,811,100.00",,,,,,
16-ธ.ค.-2022,9.09,0.00,0.00%,9.09,9.05,9.73,"27,461,717","256,154,630.00","4,252,892,765.00",,,,,,
09-ธ.ค.-2022,9.09,-0.18,-1.96%,9.18,9.05,9.36,"5,823,179","53,526,255.00","4,509,047,395.00",,,,,,
02-ธ.ค.-2022,9.27,+0.36,+4.08%,8.91,8.73,9.27,"15,708,218","142,265,010.00","4,562,573,650.00",,,,,,
25-พ.ย.-2022,8.91,-0.18,-2.00%,9.09,8.86,9.18,"11,056,429","99,669,705.00","4,420,308,640.00",,,,,,
18-พ.ย.-2022,9.09,-0.09,-0.99%,9.09,9.00,9.27,"9,603,329","87,796,375.00","4,519,978,345.00",,,,,,
11-พ.ย.-2022,9.18,0.00,0.00%,9.18,8.91,9.18,"7,961,249","72,157,835.00","4,607,774,720.00",,,,,,
04-พ.ย.-2022,9.18,+0.27,+3.06%,8.91,8.91,9.27,"11,145,749","101,150,630.00","4,535,616,885.00",,,,,,
28-ต.ค.-2022,8.91,+0.14,+1.55%,8.82,8.55,8.91,"14,952,629","130,973,970.00","4,434,466,255.00",,,,,,
21-ต.ค.-2022,8.77,-0.41,-4.46%,9.18,8.77,9.36,"15,782,248","143,381,420.00","4,303,492,285.00",,,,,,
14-ต.ค.-2022,9.18,-0.27,-2.88%,9.36,9.18,9.55,"6,419,269","60,231,130.00","4,446,873,705.00",,,,,,
07-ต.ค.-2022,9.45,+0.27,+2.97%,9.09,8.86,9.64,"17,315,428","160,751,120.00","4,507,104,835.00",,,,,,
30-ก.ย.-2022,9.18,-0.55,-5.61%,9.55,9.05,9.73,"18,260,548","170,736,235.00","4,346,353,715.00",,,,,,
23-ก.ย.-2022,9.73,+0.45,+4.90%,9.18,9.18,9.91,"38,413,536","372,738,020.00","4,517,089,950.00",,,,,,
