Absolute Clean Energy PCL | Balance Sheet                                25-Sep-2024 16:38,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,
,2018,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,73 ,69 ,51 ,51 ,50 ,55 ,49 ,32 ,18 ,14 ,19 ,24 ,32 ,39 ,22 ,22 ,17 ,16 ,23 ,25 ,11 
Period End Date,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,
Total Liabilities,"8,600,362 ","8,315,102 ","8,161,542 ","7,982,351 ","7,743,157 ","3,352,137 ","3,068,555 ","3,507,943 ","4,589,100 ","4,436,855 ","5,122,114 ","5,336,453 ","5,242,995 ","5,424,870 ","5,216,928 ","5,788,772 ","5,572,385 ","5,946,005 ","5,840,272 ","5,905,149 ","5,734,255 ","6,539,864 ","6,685,079 ","7,695,333 "
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholders Equity (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,
"Common Stock, Total","4,579,000 ","4,579,000 ","4,579,000 ","4,579,000 ","4,579,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 "
Common Stock,"4,579,000 ","4,579,000 ","4,579,000 ","4,579,000 ","4,579,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 ","5,088,000 "
Additional Paid-In Capital,--,--,--,--,--,"3,896,007 ","3,896,007 ","3,896,007 ","3,896,007 ","3,896,007 ","3,896,007 ","3,896,007 ","3,896,007 ","3,896,007 ","3,896,007 ","3,896,007 ","3,896,007 ","3,896,007 ","3,896,007 ","3,896,007 ","3,896,007 ","3,896,007 ","3,896,007 ","3,896,007 "
Retained Earnings (Accumulated Deficit),"970,060 ","992,638 ","1,125,260 ","1,334,518 ","1,562,621 ","1,809,033 ","2,402,582 ","2,347,105 ","2,757,335 ","3,008,826 ","3,369,156 ","3,552,445 ","3,963,692 ","4,331,324 ","4,654,035 ","4,834,276 ","5,215,769 ","5,409,141 ","5,684,166 ","5,999,972 ","6,316,787 ","6,481,346 ","6,736,566 ","6,956,168 "
Treasury Stock - Common,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(13,226)","(268,011)","(268,011)","(268,011)","(268,011)","(268,011)","(268,011)","(268,011)"
Total Equity,"5,549,060 ","5,571,638 ","5,704,260 ","5,913,518 ","6,141,621 ","10,793,040 ","11,386,589 ","11,331,112 ","11,741,342 ","11,992,833 ","12,353,163 ","12,536,452 ","12,947,699 ","13,315,331 ","13,638,042 ","13,818,283 ","14,186,551 ","14,125,137 ","14,400,162 ","14,715,968 ","15,032,783 ","15,197,343 ","15,452,562 ","15,672,164 "
,,,,,,,,,,,,,,,,,,,,,,,,
