,2004,2005,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Dec-2004, Jun-2005, Dec-2005, Mar-2006, Jun-2006, Sep-2006, Dec-2006, Mar-2007, Jun-2007, Sep-2007, Dec-2007, Mar-2008, Jun-2008, Sep-2008, Dec-2008, Mar-2009, Jun-2009, Sep-2009, Dec-2009, Mar-2010, Jun-2010, Sep-2010, Dec-2010, Mar-2011, Jun-2011, Sep-2011, Dec-2011, Mar-2012, Jun-2012, Sep-2012, Dec-2012, Mar-2013, Jun-2013, Sep-2013, Dec-2013, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,50 ,65 ,89 ,91 ,85 ,79 ,23 ,26 ,38 ,19 ,22 ,N/A ,6 ,34 ,40 ,48 ,79 ,28 ,50 ,64 ,31 ,51 ,46 ,28 ,59 ,50 ,51 ,77 ,68 ,32 ,7 ,3 ,9 ,12 ,72 ,44 ,44 ,75 ,86 ,80 ,81 
Period End Date,31-Dec-2004 ,30-Jun-2005 ,31-Dec-2005 ,31-Mar-2006 ,30-Jun-2006 ,30-Sep-2006 ,31-Dec-2006 ,31-Mar-2007 ,30-Jun-2007 ,30-Sep-2007 ,31-Dec-2007 ,31-Mar-2008 ,30-Jun-2008 ,30-Sep-2008 ,31-Dec-2008 ,31-Mar-2009 ,30-Jun-2009 ,30-Sep-2009 ,31-Dec-2009 ,31-Mar-2010 ,30-Jun-2010 ,30-Sep-2010 ,31-Dec-2010 ,31-Mar-2011 ,30-Jun-2011 ,30-Sep-2011 ,31-Dec-2011 ,31-Mar-2012 ,30-Jun-2012 ,30-Sep-2012 ,31-Dec-2012 ,31-Mar-2013 ,30-Jun-2013 ,30-Sep-2013 ,31-Dec-2013 ,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Equity & Minority Interest,"65,847 ","513,794 ","620,668 ","624,519 ","669,173 ","1,193,653 ","1,231,902 ","1,145,761 ","1,144,912 ","1,200,088 ","1,200,617 ","1,188,668 ","1,082,391 ","1,086,229 ","1,073,944 ","1,054,357 ","908,155 ","835,506 ","749,206 ","697,965 ","627,063 ","590,371 ","384,735 ","330,320 ","295,394 ","265,915 ","284,230 ","268,254 ","267,477 ","298,869 ","395,826 ","424,295 ","417,526 ","402,839 ","1,288,455 ","1,286,671 ","1,233,838 ","1,264,587 ","1,325,970 ","1,319,891 ","1,238,308 ","1,256,713 ","1,326,554 ","1,327,576 ","1,241,855 ","1,236,752 ","1,190,225 ","1,166,347 ","1,111,778 ","1,185,105 ","1,200,949 ","1,194,513 ","1,145,803 ","1,152,579 ","881,008 ","864,556 ","917,884 ","936,373 ","975,044 ","969,315 ","976,781 ","1,004,516 ","1,063,034 ","1,086,650 ","1,226,675 ","1,246,877 ","1,281,090 ","1,301,282 ","1,293,113 ","1,325,255 ","1,362,423 ","1,428,981 ","1,368,696 ","1,425,575 ","1,495,255 ","1,534,216 ","1,478,392 "
Full-Time Employees,719 ,707 ,730 ,662 ,--,--,732 ,--,--,--,772 ,--,--,--,657 ,--,--,--,642 ,--,--,--,--,--,--,--,662 ,--,--,--,752 ,--,--,--,808 ,--,--,--,806 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Property/Plant/Equipment - Net,"8,097 ","9,011 ","561,715 ","624,744 ","649,870 ","704,634 ","982,144 ","1,020,140 ","1,534,949 ","1,573,358 ",--,"1,591,715 ","1,576,559 ","12,278 ","11,856 ",--,--,--,"1,540,170 ","8,834 ","1,499,266 ","1,475,518 ","10,736 ","13,112 ","10,142 ","12,833 ",--,--,--,--,--,--,--,--,"7,382 ","8,376 ","8,019 ","6,655 ",--,--,--,--,0 ,"1,044,330 ","1,027,734 ","1,032,286 ","1,133,776 ","1,139,564 ","1,119,027 ","1,113,041 ","1,120,909 ","1,096,302 ","1,084,614 ","1,071,357 ","711,273 ","708,048 ","695,573 ","682,015 ","660,809 ","722,764 ","715,487 ","713,034 ","696,165 ","683,680 ","670,165 ","657,905 ","637,122 ","621,270 ","628,987 ","624,905 ","633,337 ","636,447 ","628,679 ","651,236 ","700,769 ","705,852 ","702,275 "
Intangibles - Net,"32,179 ",--,--,--,--,--,--,--,--,--,"4,854 ","12,176 ","11,509 ","10,771 ","14,795 ","14,716 ","14,468 ","13,683 ","12,877 ","12,069 ","11,293 ","10,594 ","9,905 ","9,562 ","9,224 ","8,581 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,482 ","1,412 ","1,217 ","10,047 ","9,960 ","10,181 ","9,940 ","9,717 ","9,519 ","9,344 ","9,173 ","9,446 ","9,287 ","9,136 ","8,977 ","8,817 ",429 ,389 ,339 ,387 ,372 ,364 ,336 ,297 ,282 ,367 ,366 ,"11,351 ","16,908 ","22,957 ","22,308 ","22,682 ","22,096 ","21,580 "
"Accumulated Intangible Amort, Suppl.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"21,582 ",--,--,--,"24,181 ","24,812 ","25,438 ","26,109 ","26,796 ","27,462 ","28,138 ","28,806 ","27,116 ","23,792 ","23,980 ","24,171 ","24,359 ","24,542 ","24,743 ","24,962 ","25,183 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Right-of-Use Assets-Cap.Lease,Net-Suppl.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"84,695 ","85,448 ","89,141 ","92,306 ","91,449 ","87,857 ","84,230 ","80,604 ","77,046 ","71,748 ","68,621 ","75,555 ","72,105 ","66,546 ","64,140 ","59,243 ","58,802 ","60,063 "
Deferred Revenue - Current,"31,227 ","42,511 ","40,165 ","31,918 ","33,269 ","30,232 ","24,206 ","28,772 ","73,762 ","65,817 ","48,873 ","62,051 ","68,718 ","85,962 ","31,112 ","30,629 ","38,292 ","68,987 ","37,186 ","37,789 ","73,857 ","56,921 ","40,529 ","38,520 ","46,843 ","71,796 ","56,550 ","54,297 ","41,399 ","49,987 ","65,549 ","50,249 ","40,723 ","42,762 ","60,217 ","79,396 ","75,923 ","85,651 ","93,199 ","92,387 ","89,419 ","67,505 ","62,140 ","47,016 ","52,821 ","61,963 ","35,750 ","33,283 ","58,203 ","53,734 ","33,613 ","54,244 ","54,259 ","40,293 ","28,139 ","35,773 ","39,998 ","40,024 ","51,876 ","35,143 ","45,807 ","38,119 ","26,350 ","36,577 ","36,365 ","54,660 ","78,053 ","128,250 ","131,975 ","111,783 ","68,354 ","59,713 ","86,901 ","56,750 ","51,929 ","59,786 ","103,076 "
"Curr. Port. of LT Capital Leases, Suppl.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,413 ","2,878 ","2,941 ","3,004 ","3,069 ","3,951 ","4,769 ","4,863 ","4,761 ","4,478 ",--,--,--,--,--,--,--,"12,267 ",--,--,--,"10,211 ","9,058 ","7,864 ","6,517 ","5,449 ","9,802 ","10,322 ","11,881 ","12,931 ","12,935 ","12,514 ","12,247 ","12,186 ","12,117 ","11,917 ","14,238 ","14,611 ","13,697 ","12,919 ","12,568 ","12,480 ","12,408 ","12,138 "
"Curr Derivative Liab. Hedging, Suppl.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,203 ",415 ,0 ,0 ,253 ,--,0 
Total Current Assets less Inventory,"447,718 ","492,350 ","410,495 ","417,965 ","476,753 ","602,968 ","532,498 ","553,264 ","395,975 ","675,566 ","471,497 ","621,578 ","479,073 ","668,734 ","540,817 ","341,197 ","303,507 ","302,202 ","266,076 ","369,852 ","293,769 ","317,835 ","389,616 ","373,372 ","456,861 ","537,265 ","591,429 ","513,736 ","474,558 ","648,496 ","452,210 ","555,310 ","497,823 ","516,259 ","569,803 ","521,229 ","520,522 ","592,915 ","768,368 ","570,337 ","532,127 ","603,365 ","542,950 ","410,133 ","327,219 ","274,013 ","525,128 ","326,168 ","355,186 ","402,582 ","305,711 ","288,622 ","258,940 ","276,190 ","331,123 ","244,217 ","433,999 ","391,717 ","480,819 ","457,390 ","429,907 ","384,294 ","337,184 ","372,628 ","515,618 ","476,749 ","450,683 ","344,031 ","467,124 ","518,019 ","505,619 ","645,688 ","511,883 ","547,488 ","631,191 ","586,219 ","577,191 "
Net Debt Incl. Pref.Stock & Min.Interest,"388,877 ","413,544 ","526,473 ","465,818 ","546,941 ","169,498 ","191,233 ","429,104 ","993,809 ","1,079,585 ","904,688 ","1,138,958 ","1,123,816 ","1,377,049 ","1,199,138 ","1,200,165 ","1,235,144 ","1,187,795 ","1,235,698 ","1,163,570 ","1,326,377 ","1,358,934 ","1,226,624 ","1,243,909 ","1,305,959 ","1,314,612 ","1,287,108 ","1,289,548 ","1,270,780 ","1,327,300 ","1,202,655 ","1,174,251 ","1,178,801 ","1,262,855 ","211,747 ","240,180 ","316,048 ","293,384 ","141,551 ","87,420 ","323,105 ","319,314 ","288,184 ","206,356 ","217,820 ","235,827 ","387,435 ","397,408 ","468,557 ","297,606 ","311,482 ","352,976 ","266,430 ","265,857 ","296,743 ","265,696 ","359,713 ","314,113 ","298,189 ","314,680 ","225,018 ","210,709 ","78,229 ","20,747 ","(104,604)","39,001 ","167,130 ","206,230 ","193,899 ","305,595 ","187,835 ","310,521 ","268,909 ","235,839 ","15,635 ","95,673 ","234,556 "
"Tangible Book Value, Common Equity","213,202 ","513,794 ","620,668 ","624,519 ","669,173 ","1,193,653 ","1,231,902 ","1,145,761 ","1,144,912 ","1,200,088 ","1,195,763 ","1,176,492 ","1,070,882 ","1,075,458 ","1,059,149 ","1,039,641 ","893,687 ","821,823 ","736,329 ","685,896 ","615,770 ","579,777 ","374,830 ","320,758 ","286,170 ","257,335 ","276,188 ","260,811 ","260,454 ","291,314 ","388,464 ","417,136 ","410,987 ","396,946 ","1,285,899 ","1,284,298 ","1,231,583 ","1,262,523 ","1,324,094 ","1,317,928 ","1,236,267 ","1,254,864 ","1,324,874 ","1,326,094 ","1,240,442 ","1,235,535 ","1,180,178 ","1,156,387 ","1,101,597 ","1,175,165 ","1,191,232 ","1,184,994 ","1,136,459 ","1,143,406 ","871,562 ","854,408 ","908,027 ","926,880 ","965,030 ","967,938 ","975,662 ","1,003,656 ","1,062,235 ","1,085,919 ","1,225,956 ","1,246,196 ","1,280,460 ","1,300,674 ","1,292,431 ","1,324,581 ","1,350,771 ","1,411,778 ","1,345,452 ","1,402,985 ","1,472,100 ","1,510,652 ","1,455,356 "
"Debt & Lease, Pension Items (THB Thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Capital Leases, Supplemental",--,--,--,--,--,--,"17,203 ","16,238 ","15,249 ","14,237 ",--,--,--,--,--,--,--,--,"9,737 ","8,520 ","6,773 ","5,994 ","5,197 ","4,383 ","6,870 ","5,879 ",--,--,--,--,"10,640 ","10,640 ","10,393 ",--,"11,724 ","11,027 ","10,315 ","9,588 ","13,610 ","15,689 ","14,532 ","13,351 ","12,025 ",--,--,--,--,--,--,--,"21,104 ","17,923 ","15,741 ","25,922 ","22,894 ","20,197 ","17,665 ","15,098 ","13,304 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Interest Costs,--,--,--,--,--,--,"(3,372)","(2,982)","(2,614)","(2,269)",--,--,--,--,--,--,--,--,"(1,025)",(822),(657),(521),(401),(298),(792),(671),--,--,--,--,"(2,093)","(2,093)","(1,804)",--,"(2,067)","(1,825)","(1,597)","(1,384)","(2,303)","(2,172)","(1,886)","(1,622)","(1,343)",--,--,--,--,--,--,--,"(1,115)",(876),(788),"(1,495)","(1,222)",--,--,--,(676),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital Lease Payments Due in Year 1,--,--,--,--,--,--,"5,444 ","5,418 ","5,393 ","5,368 ",--,--,--,--,--,--,--,--,"5,163 ","4,661 ","3,387 ","3,669 ","3,369 ","2,967 ","3,303 ","2,810 ",--,--,--,--,"2,840 ","2,840 ","3,110 ",--,"3,760 ","3,763 ","3,766 ","3,769 ","4,978 ","5,780 ","5,785 ","5,593 ","5,185 ",--,--,--,--,--,--,--,"13,060 ","11,101 ","9,416 ","11,699 ","10,929 ","9,058 ","7,864 ","6,517 ","5,852 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital Lease Payments Due in Year 2,--,--,--,--,--,--,"7,566 ","6,901 ","6,235 ","5,569 ",--,--,--,--,--,--,--,--,"2,799 ","2,341 ","2,022 ","1,422 ","1,115 ",857 ,"1,388 ","1,178 ",--,--,--,--,"2,895 ","2,895 ","3,124 ",--,"3,554 ","3,431 ","3,289 ","3,138 ","4,069 ","4,478 ","4,088 ","3,798 ","3,479 ",--,--,--,--,--,--,--,--,"1,925 ","1,778 ","3,930 ","3,297 ","2,785 ","2,450 ","2,145 ","2,032 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital Lease Payments Due in Year 3,--,--,--,--,--,--,"7,566 ","6,901 ","6,235 ","5,569 ",--,--,--,--,--,--,--,--,"2,799 ","2,341 ","2,022 ","1,422 ","1,115 ",857 ,"1,388 ","1,178 ",--,--,--,--,"2,895 ","2,895 ","3,124 ",--,"3,554 ","3,431 ","3,289 ","3,138 ","4,069 ","4,478 ","4,088 ","3,798 ","3,479 ",--,--,--,--,--,--,--,--,"1,925 ","1,778 ","3,930 ","3,297 ","2,785 ","2,450 ","2,145 ","2,032 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital Lease Payments Due in Year 4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,925 ","1,778 ","3,930 ","3,297 ","2,785 ","2,450 ","2,145 ","2,032 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital Lease Payments Due in Year 5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,925 ","1,778 ","3,930 ","3,297 ","2,785 ","2,450 ","2,145 ","2,032 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital Lease Payments Due in 2-3 Years,--,--,--,--,--,--,"15,131 ","13,802 ","12,470 ","11,138 ",--,--,--,--,--,--,--,--,"5,598 ","4,681 ","4,043 ","2,845 ","2,229 ","1,715 ","2,776 ","2,357 ",--,--,--,--,"5,789 ","5,789 ","6,249 ",--,"7,108 ","6,862 ","6,578 ","6,276 ","8,138 ","8,955 ","8,177 ","7,595 ","6,958 ",--,--,--,--,--,--,--,--,"3,849 ","3,557 ","7,859 ","6,594 ","5,569 ","4,900 ","4,291 ","4,064 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital Lease Payments Due in 4-5 Years,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,849 ","3,557 ","7,859 ","6,594 ","5,569 ","4,900 ","4,291 ","4,064 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Cap. Lease Pymts. Due in Year 6 & Beyond,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,583 ","1,384 ",--,--,--,--,"4,103 ","4,103 ","2,837 ",--,"2,923 ","2,227 ","1,568 ",927 ,"2,797 ","3,125 ","2,456 ","1,785 ","1,224 ",--,--,--,--,--,--,--,"9,159 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Funded Status,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(47,358)","(51,097)",--,--,"(58,408)","(61,840)","(65,553)","(62,249)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Unfunded Plan Obligations,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"47,358 ","51,097 ",--,--,"58,408 ","61,840 ","65,553 ","62,249 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Period End Assumptions,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Discount Rate - Domestic,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.39%,4.39%,4.39%,--,4.39%,4.39%,4.39%,--,--,--,4.68%,4.68%,4.68%,4.68%,4.68%,--,--,--,--,4.68%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Compensation Rate - Domestic,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.61%,5.61%,5.61%,--,5.61%,5.61%,5.61%,--,--,--,6.19%,6.19%,6.19%,6.19%,6.19%,--,--,--,--,6.19%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Assets Recognized on Balance Sheet,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(3,206)","(6,411)","(9,617)","(11,810)","(15,033)","(17,950)","(21,115)","(20,786)","(23,970)","(27,174)","(39,947)","(43,939)","(47,358)","(51,097)","(54,835)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Accrued Liabilities - Domestic,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(3,206)","(6,411)","(9,617)","(11,810)","(15,033)","(17,950)","(21,115)","(20,786)","(23,970)","(27,174)","(39,947)","(43,939)","(47,358)","(51,097)","(54,835)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Plan Obligations,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"47,358 ","51,097 ",--,--,"58,408 ","61,840 ","65,553 ","62,249 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
