,2004,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,
, Dec-2004, Mar-2005, Jun-2005, Sep-2005, Dec-2005, Mar-2006, Jun-2006, Sep-2006, Dec-2006, Mar-2007, Jun-2007, Sep-2007, Dec-2007, Mar-2008, Jun-2008, Sep-2008, Dec-2008, Mar-2009, Jun-2009, Sep-2009, Dec-2009, Mar-2010, Jun-2010, Sep-2010, Dec-2010, Mar-2011, Jun-2011, Sep-2011, Dec-2011, Mar-2012, Jun-2012, Sep-2012, Dec-2012, Mar-2013, Jun-2013, Sep-2013, Dec-2013, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022
Period End Date,31-Dec-2004 ,31-Mar-2005 ,30-Jun-2005 ,30-Sep-2005 ,31-Dec-2005 ,31-Mar-2006 ,30-Jun-2006 ,30-Sep-2006 ,31-Dec-2006 ,31-Mar-2007 ,30-Jun-2007 ,30-Sep-2007 ,31-Dec-2007 ,31-Mar-2008 ,30-Jun-2008 ,30-Sep-2008 ,31-Dec-2008 ,31-Mar-2009 ,30-Jun-2009 ,30-Sep-2009 ,31-Dec-2009 ,31-Mar-2010 ,30-Jun-2010 ,30-Sep-2010 ,31-Dec-2010 ,31-Mar-2011 ,30-Jun-2011 ,30-Sep-2011 ,31-Dec-2011 ,31-Mar-2012 ,30-Jun-2012 ,30-Sep-2012 ,31-Dec-2012 ,31-Mar-2013 ,30-Jun-2013 ,30-Sep-2013 ,31-Dec-2013 ,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Lease Obligations,766 ,924 ,"1,073 ","2,603 ","3,145 ","2,664 ","2,224 ","2,118 ","1,674 ","1,229 ",785 ,589 ,740 ,627 ,"1,413 ","1,197 ",990 ,691 ,528 ,359 ,219 ,"1,459 ","2,220 ","2,056 ","1,877 ","2,101 ","2,954 ","3,675 ","3,138 ","2,654 ","8,878 ","9,798 ","10,242 ","9,461 ","17,968 ","16,039 ","18,971 ","19,023 ","26,831 ","25,034 ","21,850 ","18,650 ","15,434 ","12,818 ","10,311 ","7,863 ","5,715 ","4,542 ","3,144 ","2,231 ","2,051 ","1,856 ","1,308 ",0 ,0 ,0 ,"56,907 ",--,0 ,"17,925 ","39,135 ","168,028 ","149,333 ","136,980 ","159,201 ","147,619 ","135,976 ","111,469 ","118,821 ","99,318 ","135,370 ","186,557 ","114,779 "
Total Debt,"126,768 ","90,952 ","83,376 ","107,479 ","140,363 ","145,415 ","138,878 ","149,196 ","145,297 ","158,018 ","167,729 ","178,196 ","170,487 ","171,569 ","162,322 ","150,748 ","133,706 ","139,248 ","130,304 ","136,197 ","135,998 ","125,474 ","123,523 ","128,984 ","140,152 ","166,160 ","177,334 ","184,002 ","199,096 ","199,022 ","252,494 ","261,482 ","263,882 ","288,120 ","337,204 ","353,412 ","329,188 ","366,090 ","367,748 ","380,494 ","395,807 ","409,270 ","426,607 ","445,353 ","465,862 ","486,518 ","501,317 ","496,779 ","461,163 ","454,785 ","461,595 ","457,372 ","492,144 ","478,172 ","472,397 ","458,304 ","4,977,430 ","466,264 ","453,270 ","4,260,424 ","5,005,639 ","13,840,622 ","13,727,271 ","12,997,395 ","12,361,852 ","11,787,108 ","11,648,785 ","13,825,988 ","14,283,009 ","14,896,650 ","16,417,104 ","16,016,076 ","19,926,208 "
Deferred Income Tax,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"237,933 ",--,--,"237,390 ","237,122 ","225,936 ","219,339 ","223,496 ","358,606 ","363,685 ","368,352 ","341,360 ","341,549 ","342,802 ","368,371 ","385,503 ","432,287 "
Deferred Income Tax - LT Liability,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"237,933 ",--,--,"237,390 ","237,122 ","225,936 ","219,339 ","223,496 ","358,606 ","363,685 ","368,352 ","341,360 ","341,549 ","342,802 ","368,371 ","385,503 ","432,287 "
Minority Interest,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,51 ,40 ,31 ,29 ,24 ,30 ,(4),(11),0 ,0 ,0 ,0 ,--,--,--,--,--,--,--,--,--,--,"832,340 ",1 ,(1),"35,639 ","45,644 ","47,033 ","50,083 ","52,864 ","55,218 ","58,261 ","61,688 ","64,642 ","50,087 ","98,557 ","96,659 ","102,968 ","11,073 "
"Other Liabilities, Total","1,842 ","1,936 ","2,110 ","2,246 ","2,309 ","2,418 ","2,512 ","2,552 ","2,539 ","2,563 ","2,627 ","2,588 ","2,522 ","2,558 ","2,643 ","2,707 ","2,567 ","2,616 ","2,677 ","2,758 ","2,919 ","2,999 ","3,036 ","3,164 ","2,442 ","9,922 ","10,390 ","10,954 ","11,590 ","12,323 ","13,057 ","13,785 ","13,049 ","13,840 ","14,220 ","14,891 ","19,072 ","20,437 ","21,275 ","22,049 ","16,926 ","17,163 ","17,140 ","17,617 ","17,626 ","18,316 ","18,792 ","18,881 ","12,830 ","13,239 ","13,735 ","14,132 ","12,136 ","12,631 ","13,165 ","13,681 ","137,703 ","13,959 ",0 ,"155,498 ","173,402 ","189,444 ","189,710 ","203,547 ","205,412 ","209,044 ","212,933 ","214,764 ","194,836 ","194,322 ","203,479 ","202,599 ","200,491 "
Pension Benefits - Underfunded,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,"7,374 ","7,791 ","8,209 ","8,802 ","9,373 ","9,944 ","10,516 ","10,030 ","10,648 ","11,042 ","11,577 ","15,659 ","16,922 ","17,664 ","18,545 ","13,481 ","13,677 ","14,340 ","14,813 ","14,951 ","15,614 ","16,146 ","16,280 ","10,409 ","10,915 ","11,422 ","11,928 ","10,009 ","10,530 ","11,050 ","11,570 ","113,703 ","12,064 ",0 ,"135,871 ","151,444 ","165,400 ","174,759 ","180,956 ","178,958 ","182,717 ","187,194 ","188,763 ","176,959 ","180,510 ","180,334 ","184,582 ","186,055 "
Other Long Term Liabilities,"1,842 ","1,936 ","2,110 ","2,246 ","2,309 ","2,418 ","2,512 ","2,552 ","2,539 ","2,563 ","2,627 ","2,588 ","2,522 ","2,558 ","2,643 ","2,707 ","2,567 ","2,616 ","2,677 ","2,758 ","2,919 ","2,999 ","3,036 ","3,164 ","2,442 ","2,548 ","2,599 ","2,745 ","2,789 ","2,950 ","3,113 ","3,269 ","3,019 ","3,192 ","3,179 ","3,314 ","3,412 ","3,515 ","3,611 ","3,503 ","3,445 ","3,486 ","2,800 ","2,804 ","2,675 ","2,703 ","2,646 ","2,601 ","2,421 ","2,324 ","2,313 ","2,204 ","2,127 ","2,101 ","2,115 ","2,111 ","24,000 ","1,896 ",0 ,"19,628 ","21,958 ","24,044 ","14,951 ","22,592 ","26,453 ","26,327 ","25,739 ","26,001 ","17,877 ","13,812 ","23,145 ","18,016 ","14,436 "
Total Liabilities,"263,490 ","220,253 ","203,721 ","249,794 ","286,921 ","298,481 ","306,323 ","302,432 ","279,478 ","287,182 ","283,854 ","284,549 ","282,249 ","285,237 ","283,971 ","298,639 ","303,573 ","300,374 ","299,611 ","297,376 ","300,649 ","298,497 ","310,336 ","303,794 ","318,834 ","358,421 ","366,338 ","377,641 ","375,900 ","388,658 ","415,674 ","429,781 ","439,663 ","469,749 ","508,646 ","524,168 ","560,656 ","600,137 ","599,352 ","606,014 ","632,020 ","637,173 ","629,269 ","651,732 ","659,964 ","685,490 ","694,368 ","720,100 ","684,090 ","667,448 ","680,663 ","682,530 ","690,381 ","699,486 ","670,025 ","697,240 ","12,795,323 ","704,183 ","713,758 ","10,232,439 ","10,386,970 ","19,020,557 ","21,010,503 ","22,223,631 ","23,737,622 ","25,783,093 ","28,068,132 ","32,695,348 ","32,772,528 ","34,111,920 ","37,852,273 ","38,465,266 ","38,577,388 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholders Equity (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Common Stock, Total","170,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,050 ","240,050 ","240,050 ","248,946 ","250,766 ","267,555 ","268,451 ","268,451 ","268,451 ","288,938 ","288,938 ","288,938 ","288,938 ","288,938 ","288,938 ","288,938 ","288,938 ","288,938 ","288,938 ","323,175 ","323,175 ","323,175 ","323,175 ","323,175 ","323,175 ","323,175 ","323,175 ","323,211 ","323,211 ","323,211 ","23,812,810 ","14,049,558 ","14,049,558 ","14,049,558 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","13,406,405 "
Common Stock,"170,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,000 ","240,050 ","240,050 ","240,050 ","248,946 ","250,766 ","267,555 ","268,451 ","268,451 ","268,451 ","288,938 ","288,938 ","288,938 ","288,938 ","288,938 ","288,938 ","288,938 ","288,938 ","288,938 ","288,938 ","323,175 ","323,175 ","323,175 ","323,175 ","323,175 ","323,175 ","323,175 ","323,175 ","323,211 ","323,211 ","323,211 ","23,812,810 ","14,049,558 ","14,049,558 ","14,049,558 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","13,406,405 "
Additional Paid-In Capital,"22,000 ","132,120 ","132,120 ","132,120 ","132,120 ","132,120 ","132,120 ","132,120 ","132,121 ","132,121 ","132,121 ","132,121 ","132,120 ","132,121 ","132,121 ","132,121 ","132,120 ","132,120 ","132,120 ","132,120 ","132,120 ","132,120 ","120,336 ","120,336 ","120,336 ","120,336 ","120,336 ","120,336 ","120,336 ","120,349 ","120,349 ","137,632 ","136,650 ","136,620 ","135,969 ","135,854 ","135,854 ","135,854 ","144,172 ","144,172 ","144,172 ","144,172 ","144,172 ","144,172 ","144,172 ","144,172 ","144,172 ","144,172 ","161,291 ","161,291 ","33,834 ","33,834 ","33,834 ","33,834 ","33,834 ","33,834 ","33,852 ","33,852 ","33,852 ","33,852 ",0 ,--,--,--,--,--,--,--,0 ,--,--,--,"4,080,000 "
Retained Earnings (Accumulated Deficit),"129,607 ","148,963 ","132,168 ","139,243 ","136,878 ","130,744 ","134,142 ","110,262 ","92,200 ","86,323 ","88,368 ","88,579 ","66,743 ","39,776 ","20,147 ","(16,520)","(36,109)","(30,005)","(24,145)","(23,997)","(11,784)","(7,057)","10,902 ","12,329 ","14,766 ","10,634 ","6,567 ","10,431 ","40,713 ","27,488 ","40,323 ","35,657 ","63,185 ","72,869 ","66,041 ","70,504 ","59,975 ","50,371 ","49,791 ","52,456 ","46,868 ","48,798 ","60,352 ","47,939 ","29,078 ","3,101 ","(13,855)","(49,918)","(122,392)","(160,222)","(61,812)","(39,309)","(73,684)","(85,045)","(130,016)","(177,522)","628,236 ","(479,610)","(554,858)","(21,014,538)","(11,781,837)","(11,594,247)","(11,153,755)","(8,548,141)","(8,188,162)","(7,750,086)","(7,225,641)","(6,313,132)","(14,801,760)","(4,832,334)","(4,141,697)","(3,185,661)","(21,413,892)"
Unrealized Gain (Loss),"4,826 ","6,004 ","3,685 ","(1,777)","2,995 ","10,687 ","5,066 ","8,423 ","1,395 ","1,185 ","1,516 ","1,141 ","1,486 ","1,615 ",580 ,36 ,(221),(160),539 ,"1,360 ","1,669 ","2,059 ","1,463 ","1,607 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Other Equity, Total",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,484 ","1,443 ","1,484 ",744 ,"1,039 ","1,319 ","1,073 ","1,196 ",891 ,"1,894 ","2,244 ","2,244 ","2,017 ","1,687 ","1,191 ",634 ,427 ,169 ,108 ,(58),283 ,448 ,(78),(181),(460),(574),(625),(780),"(1,048)","(1,224)","(1,245)",0 ,0 ,--,0 ,0 ,0 ,--,"(56,165)","(16,425)","(97,639)","(19,499)","23,908 ","213,830 ",336 ,"(14,279)","(143,783)","(89,603)","(487,247)"
Translation Adjustment,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(56,165)","(16,425)","(97,639)","(19,499)","23,908 ","213,830 ",336 ,"(14,279)","(143,783)","(89,603)","(487,247)"
Other Equity,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,484 ","1,443 ","1,484 ",744 ,"1,039 ","1,319 ","1,073 ","1,196 ",891 ,"1,894 ","2,244 ","2,244 ","2,017 ","1,687 ","1,191 ",634 ,427 ,169 ,108 ,(58),283 ,448 ,(78),(181),(460),(574),(625),(780),"(1,048)","(1,224)","(1,245)",0 ,0 ,--,0 ,0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,--
Total Equity,"326,433 ","527,087 ","507,973 ","509,586 ","511,993 ","513,551 ","511,328 ","490,805 ","465,716 ","459,629 ","462,005 ","461,841 ","440,349 ","413,512 ","392,848 ","355,637 ","335,790 ","341,955 ","348,514 ","349,483 ","362,005 ","367,123 ","372,701 ","374,272 ","376,586 ","372,413 ","368,387 ","371,512 ","402,088 ","389,206 ","401,795 ","414,535 ","449,672 ","462,148 ","471,810 ","477,053 ","466,296 ","456,362 ","484,092 ","486,200 ","480,405 ","482,077 ","493,569 ","480,991 ","462,471 ","436,659 ","419,177 ","383,011 ","361,614 ","323,669 ","294,571 ","316,920 ","282,276 ","270,739 ","225,748 ","179,487 ","985,299 ","(122,547)","(197,795)","2,832,123 ","2,267,721 ","2,455,311 ","2,839,638 ","3,341,839 ","3,620,603 ","4,136,820 ","4,704,672 ","5,807,103 ","(2,895,019)","7,059,791 ","7,620,925 ","8,631,141 ","(4,414,733)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Liabilities & Shareholders' Equity,"589,923 ","747,340 ","711,694 ","759,380 ","798,914 ","812,032 ","817,651 ","793,237 ","745,194 ","746,811 ","745,859 ","746,390 ","722,598 ","698,749 ","676,819 ","654,276 ","639,363 ","642,329 ","648,125 ","646,859 ","662,654 ","665,620 ","683,037 ","678,067 ","695,420 ","730,833 ","734,725 ","749,153 ","777,988 ","777,864 ","817,469 ","844,316 ","889,334 ","931,897 ","980,455 ","1,001,221 ","1,026,953 ","1,056,499 ","1,083,444 ","1,092,214 ","1,112,425 ","1,119,251 ","1,122,838 ","1,132,724 ","1,122,434 ","1,122,149 ","1,113,545 ","1,103,111 ","1,045,704 ","991,117 ","975,234 ","999,449 ","972,657 ","970,225 ","895,773 ","876,727 ","13,780,622 ","581,636 ","515,962 ","13,064,562 ","12,654,692 ","21,475,868 ","23,850,142 ","25,565,470 ","27,358,226 ","29,919,913 ","32,772,804 ","38,502,451 ","29,877,509 ","41,171,711 ","45,473,198 ","47,096,407 ","34,162,655 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplemental (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Common Shares Outstanding,"93,704 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,316 ","132,316 ","132,316 ","137,219 ","138,222 ","138,259 ","138,721 ","138,721 ","138,721 ","149,308 ","149,308 ","149,308 ","149,308 ","149,308 ","149,308 ","149,308 ","149,308 ","149,308 ","149,308 ","167,000 ","167,000 ","167,000 ","167,000 ","167,000 ","167,000 ","167,000 ","167,000 ","167,019 ","167,019 ","167,019 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","13,406,405 "
Shares Outs - Common Stock Primary Issue,"93,704 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,316 ","132,316 ","132,316 ","137,219 ","138,222 ","138,259 ","138,721 ","138,721 ","138,721 ","149,308 ","149,308 ","149,308 ","149,308 ","149,308 ","149,308 ","149,308 ","149,308 ","149,308 ","149,308 ","167,000 ","167,000 ","167,000 ","167,000 ","167,000 ","167,000 ","167,000 ","167,000 ","167,019 ","167,019 ","167,019 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","13,406,405 "
Treas Shares - Common Stock Prmry Issue,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,--,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Minority Interest - Non Redeemable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,51 ,40 ,31 ,29 ,24 ,30 ,(4),(11),0 ,0 ,0 ,0 ,--,--,--,--,--,--,--,--,--,--,"832,340 ",1 ,(1),"35,639 ","45,644 ","47,033 ","50,083 ","52,864 ","55,218 ","58,261 ","61,688 ","64,642 ","50,087 ","98,557 ","96,659 ","102,968 ","11,073 "
Total Equity & Minority Interest,"326,433 ","527,087 ","507,973 ","509,586 ","511,993 ","513,551 ","511,328 ","490,805 ","465,716 ","459,629 ","462,005 ","461,841 ","440,349 ","413,512 ","392,848 ","355,637 ","335,790 ","341,955 ","348,514 ","349,483 ","362,005 ","367,123 ","372,701 ","374,272 ","376,586 ","372,413 ","368,387 ","371,512 ","402,088 ","389,206 ","401,795 ","414,535 ","449,672 ","462,148 ","471,861 ","477,093 ","466,327 ","456,391 ","484,116 ","486,230 ","480,400 ","482,067 ","493,569 ","480,991 ","462,471 ","436,659 ","419,177 ","383,011 ","361,614 ","323,669 ","294,571 ","316,920 ","282,276 ","270,739 ","225,748 ","179,487 ","1,817,639 ","(122,546)","(197,796)","2,867,762 ","2,313,365 ","2,502,344 ","2,889,721 ","3,394,703 ","3,675,821 ","4,195,081 ","4,766,360 ","5,871,745 ","(2,844,932)","7,158,349 ","7,717,584 ","8,734,108 ","(4,403,660)"
Full-Time Employees,440 ,--,--,--,515 ,--,--,--,546 ,--,--,--,532 ,--,--,--,--,--,--,--,--,--,--,--,554 ,--,--,--,548 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Property/Plant/Equipment - Net,"113,872 ","112,660 ","113,193 ","116,217 ","117,709 ","154,205 ","146,221 ","144,383 ","141,776 ","141,496 ","138,709 ","135,882 ","140,861 ","139,216 ","137,364 ","135,094 ",--,--,--,--,--,"125,985 ","125,207 ","134,066 ","132,879 ","147,273 ","149,556 ","153,795 ","153,220 ","153,939 ","164,483 ","164,479 ","165,718 ","175,542 ","179,438 ","177,913 ","182,131 ","181,374 ","192,385 ","186,387 ","181,364 ","177,343 ","168,233 ","163,826 ","159,206 ","153,140 ","148,314 ","143,236 ","134,842 ","133,940 ","129,211 ","124,687 ","118,549 ","115,680 ","86,106 ","83,704 ","2,408,575 ","78,284 ",0 ,"2,482,241 ","2,686,844 ","4,315,035 ","4,585,421 ","4,598,166 ","5,179,781 ","5,232,841 ","5,245,608 ","5,273,494 ","5,171,767 ","5,160,363 ","5,241,130 ","5,279,810 ","4,957,896 "
Intangibles - Net,--,--,--,--,--,--,--,"23,938 ","20,323 ","14,118 ","12,836 ","14,040 ","11,683 ","12,813 ","11,946 ","10,892 ","14,552 ","18,215 ","22,346 ","20,628 ","23,049 ","19,832 ","21,932 ","22,979 ","25,081 ","32,527 ","31,445 ","32,263 ","32,004 ","31,850 ","29,976 ","31,335 ","32,515 ","30,217 ","49,890 ","52,763 ","53,651 ","52,091 ","50,349 ","52,500 ","49,334 ","46,437 ","31,433 ","31,608 ","31,659 ","32,389 ","32,021 ","30,314 ","29,869 ","28,031 ","27,175 ","26,079 ","16,255 ","17,671 ","17,330 ","18,169 ","20,275 ","7,399 ",0 ,"15,439 ","13,665 ","14,851 ","12,792 ","10,955 ","8,895 ","7,160 ","5,488 ","3,750 ","1,993 ","2,022 ","1,957 ","1,919 ","1,881 "
Goodwill - Net,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"893,468 ",--,--,"893,468 ","893,468 ","5,901,005 ","6,060,630 ","6,060,630 ","5,423,877 ","5,423,877 ","5,423,877 ","5,423,877 ","5,423,877 ","5,423,877 ","5,423,877 ","5,423,877 ","4,171,913 "
"Accumulated Intangible Amort, Suppl.","22,217 ","5,718 ","11,343 ","1,029 ","21,363 ","2,172 ","10,131 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Right-of-Use Assets-Cap.Lease,Net-Suppl.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"338,529 ","319,328 ","315,088 ","745,289 ","745,313 ","743,890 ","750,058 ","737,625 ","727,556 ","768,279 ","770,322 ","740,827 "
Deferred Revenue - Current,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,871 ",--,--,--,--,"3,759 ","4,360 ","5,161 ","3,342 ","4,246 ","6,688 ","3,257 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"80,791 ","66,764 ","87,732 ","124,864 ","110,679 ","88,911 ","311,217 ","424,626 ",--,--,--,"365,418 "
"Curr. Port. of LT Capital Leases, Suppl.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,492 ",--,--,--,--,--,--,"9,671 ","11,164 ","11,428 ","14,292 ","12,834 ","12,749 ","13,542 ","13,329 ","12,550 ","11,656 ","10,739 ","9,675 ","8,237 ","7,121 ","5,602 ","3,643 ","2,260 ","1,256 ","1,618 ","1,239 ","1,079 ","16,999 ","5,518 ",0 ,"7,612 ","17,772 ","67,248 ","66,207 ","66,077 ","74,393 ","66,991 ","64,467 ","75,981 ","74,978 ","75,612 ","59,546 ","61,228 ","40,342 "
"Curr Derivative Liab. Hedging, Suppl.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"54,852 ",--,--,"86,527 ","53,266 ",0 ,"55,195 ",0 ,"191,276 ",0 ,0 ,0 ,0 ,--,--,"309,216 ","211,955 "
"Non-Curr Derivative Liab. Hedging, Suppl",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"8,763 ","3,261 ",731 
