Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
7.00 - 8.00,"4,490,200",0.40%,3,0.57%,,,,,,,,,,,
6.00 - 7.00,"21,907,000",1.97%,30,5.74%,,,,,,,,,,,
5.00 - 6.00,"29,132,700",2.62%,10,1.91%,,,,,,,,,,,
4.00 - 5.00,"70,071,900",6.31%,27,5.16%,,,,,,,,,,,
3.00 - 4.00,"70,001,300",6.30%,93,17.78%,,,,,,,,,,,
2.00 - 3.00,"859,340,000",77.36%,221,42.26%,,,,,,,,,,,
1.00 - 2.00,"54,061,900",4.87%,137,26.20%,,,,,,,,,,,
0.00 - 1.00,"1,769,200",0.16%,2,0.38%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LNE.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,7.30,21-พ.ย.-2014,Max,"266,619,100",17-มิ.ย.-2022,Advancing,"724,478,900",Up,202,Up,+28.71%,10-มิ.ย.-2022,Max,"744,402,356.00",17-มิ.ย.-2022
Low,0.95,05-ก.ค.-2024,Min,"2,400",15-พ.ย.-2019,Declining,"328,486,100",Down,244,Down,-16.75%,12-พ.ค.-2017,Min,"5,210.00",15-พ.ย.-2019
Avg,2.76,,Avg,"2,123,851",,Total,"1,110,774,200",Unch,76,Period,-81.99%,10 Years,Avg,"6,133,574.28",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LNE.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
17-ก.พ.-2023,1.99,-0.09,-4.33%,2.08,1.99,2.08,"1,162,700","2,338,671.00","1,209,272,058.00",,,,,,
10-ก.พ.-2023,2.08,+0.04,+1.96%,2.04,2.04,2.08,"1,372,700","2,825,414.00","1,211,610,729.00",,,,,,
03-ก.พ.-2023,2.04,-0.02,-0.97%,2.04,2.02,2.12,"1,312,700","2,698,772.00","1,208,785,315.00",,,,,,
27-ม.ค.-2023,2.06,-0.04,-1.90%,2.10,1.99,2.10,"2,151,400","4,354,665.00","1,211,484,087.00",,,,,,
20-ม.ค.-2023,2.10,+0.02,+0.96%,2.04,2.04,2.12,"635,300","1,321,834.00","1,215,838,752.00",,,,,,
13-ม.ค.-2023,2.08,+0.06,+2.97%,2.02,2.00,2.18,"1,663,200","3,452,334.00","1,214,516,918.00",,,,,,
06-ม.ค.-2023,2.02,-0.02,-0.98%,2.02,2.00,2.04,"405,500","819,426.00","1,211,064,584.00",,,,,,
30-ธ.ค.-2022,2.04,+0.06,+3.03%,1.99,1.99,2.04,"723,800","1,454,364.00","1,211,884,010.00",,,,,,
23-ธ.ค.-2022,1.98,-0.02,-1.00%,2.00,1.97,2.02,"757,200","1,506,966.00","1,210,429,646.00",,,,,,
16-ธ.ค.-2022,2.00,-0.02,-0.99%,2.02,2.00,2.08,"420,800","845,138.00","1,211,936,612.00",,,,,,
09-ธ.ค.-2022,2.02,0.00,0.00%,2.02,2.00,2.06,"652,700","1,314,876.00","1,212,781,750.00",,,,,,
