,2007,2008,,2009,,2010,2011,2012,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Dec-2007, Jun-2008, Dec-2008, Mar-2009, Dec-2009, Dec-2010, Dec-2011, Jun-2012, Sep-2012, Dec-2012, Mar-2013, Jun-2013, Sep-2013, Dec-2013, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,1 ,3 ,3 ,4 ,4 ,3 ,6 ,7 ,7 ,8 ,12 ,14 ,39 ,59 ,71 ,51 ,42 ,73 ,73 ,11 ,12 ,8 ,9 ,43 ,38 ,34 ,25 ,23 ,28 ,34 ,34 ,33 ,36 ,18 ,19 ,15 ,14 ,17 ,16 ,19 ,31 
Period End Date,31-Dec-2007 ,30-Jun-2008 ,31-Dec-2008 ,31-Mar-2009 ,31-Dec-2009 ,31-Dec-2010 ,31-Dec-2011 ,30-Jun-2012 ,30-Sep-2012 ,31-Dec-2012 ,31-Mar-2013 ,30-Jun-2013 ,30-Sep-2013 ,31-Dec-2013 ,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Liabilities,"261,727 ","138,667 ","174,541 ","170,415 ","415,490 ","533,080 ","740,003 ","1,087,634 ","1,228,061 ","1,405,485 ","1,214,491 ","1,152,432 ","3,426,833 ","7,106,027 ","6,897,743 ","6,794,439 ","9,261,770 ","13,433,360 ","13,887,256 ","15,073,757 ","17,568,807 ","24,552,290 ","24,620,490 ","26,655,409 ","30,053,916 ","30,123,942 ","30,572,321 ","30,177,990 ","29,237,359 ","29,862,820 ","30,953,023 ","32,407,921 ","38,438,715 ","41,068,930 ","42,251,879 ","43,738,732 ","46,387,514 ","46,855,187 ","49,190,047 ","50,434,385 ","50,609,592 ","50,672,251 ","51,770,707 ","52,542,811 ","50,948,263 ","52,975,229 ","55,912,484 ","58,264,031 ","59,088,055 ","64,435,376 ","71,099,234 ","72,851,869 ","80,933,724 ","72,529,967 ","71,970,116 ","71,495,760 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholders Equity (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Common Stock, Total","50,000 ","250,000 ","250,000 ","250,000 ","250,000 ","279,380 ","305,000 ","317,000 ","317,000 ","317,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 "
Common Stock,"50,000 ","250,000 ","250,000 ","250,000 ","250,000 ","279,380 ","305,000 ","317,000 ","317,000 ","317,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 ","373,000 "
Additional Paid-In Capital,--,--,--,--,--,--,--,--,--,"746,100 ",--,"3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 ","3,680,616 "
Retained Earnings (Accumulated Deficit),"30,913 ","48,689 ","39,844 ","97,410 ","87,306 ","39,221 ","101,774 ","80,711 ","86,142 ","123,421 ","206,674 ","229,876 ","257,767 ","352,874 ","812,832 ","1,146,663 ","1,519,450 ","1,838,792 ","2,418,696 ","3,086,293 ","3,800,603 ","4,451,328 ","5,162,217 ","5,781,584 ","6,499,596 ","7,329,834 ","8,309,301 ","8,716,095 ","9,732,214 ","10,620,928 ","12,574,536 ","12,282,941 ","13,568,934 ","14,863,940 ","16,074,659 ","16,584,596 ","18,263,330 ","20,185,389 ","20,859,348 ","20,889,773 ","22,008,771 ","23,492,858 ","24,904,709 ","24,904,881 ","26,521,137 ","28,402,445 ","29,768,755 ","29,745,186 ","32,715,481 ","34,887,733 ","37,207,493 ","38,248,748 ","40,211,705 ","41,374,905 ","42,263,607 ","41,691,344 "
Treasury Stock - Common,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(655,001)","(733,976)","(733,976)"
Unrealized Gain (Loss),--,--,--,--,--,"219,420 ","578,100 ","746,100 ","746,100 ",--,"3,680,616 ",--,--,--,"(46,945)","(46,945)","(46,945)",993 ,993 ,--,993 ,--,--,--,--,--,--,--,--,"(6,945)",--,--,--,"(701,847)","(701,847)","(701,847)","(693,532)","(693,532)","5,454 ","582,145 ","591,100 ","295,575 ","281,602 ","259,371 ","(26,668)","(112,786)","(139,869)","(83,935)","(253,398)","2,475 ","(32,711)","(25,027)","(516,344)","(3,018,659)","(4,066,229)","(6,440,114)"
"Other Equity, Total",--,--,--,--,--,--,--,--,"(46,388)","(46,945)","(46,945)","(46,945)","(46,945)","(46,945)",--,--,--,--,--,--,--,--,--,--,--,--,"8,903 ","(5,976)","(11,952)",--,"(1,528)","4,588 ","(25,379)","(77,046)","(138,226)","(205,072)","(222,309)","(180,967)","(67,695)","(92,448)","(13,618)","(30,532)","7,829 ","69,262 ","188,377 ","157,746 ","82,385 ","83,000 ","59,539 ","(14,856)","(27,926)","(17,516)","(31,931)","(55,493)","(23,097)","(60,285)"
Translation Adjustment,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"8,903 ","(5,976)","(11,952)",--,"(4,266)","2,068 ","(27,561)","(63,358)","(124,538)","(191,384)","(206,178)","(164,322)","(50,424)","(66,655)","5,347 ","(8,247)","28,902 ","89,833 ","208,948 ","167,854 ","92,130 ","92,012 ","63,444 ","5,674 ","(6,054)","6,368 ","(21,829)","(8,605)","(4,108)","(44,116)"
Other Equity,--,--,--,--,--,--,--,--,"(46,388)","(46,945)","(46,945)","(46,945)","(46,945)","(46,945)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(15,699)","(15,699)","(15,699)","(18,142)","(17,078)","(17,078)","(17,078)","(17,078)","(17,101)","(17,101)","(17,101)","(17,101)","(12,757)","(12,757)","(12,757)","(12,757)","(12,757)","(12,757)","(12,757)","(12,757)","(12,757)","(12,757)","(12,757)"
Other Comprehensive Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,738 ","2,520 ","2,182 ","2,011 ","2,011 ","2,011 ","2,011 ",433 ,(193),"(8,715)","(1,887)","(5,184)","(3,972)","(3,470)","(3,470)","2,649 ","3,012 ","3,745 ","8,852 ","(7,773)","(9,115)","(11,127)","2,655 ","(34,131)","(6,232)","(3,412)"
Total Equity,"80,913 ","298,689 ","289,844 ","347,410 ","337,306 ","538,021 ","984,874 ","1,143,811 ","1,102,853 ","1,139,576 ","4,213,345 ","4,236,547 ","4,264,438 ","4,359,545 ","4,819,503 ","5,153,334 ","5,526,121 ","5,893,401 ","6,473,305 ","7,139,909 ","7,855,212 ","8,504,944 ","9,215,833 ","9,835,200 ","10,553,212 ","11,383,450 ","12,371,820 ","12,763,735 ","13,773,878 ","14,667,599 ","16,626,624 ","16,341,145 ","17,597,171 ","18,138,663 ","19,288,202 ","19,731,293 ","21,401,105 ","23,364,507 ","24,850,723 ","25,433,086 ","26,639,869 ","27,811,517 ","29,247,756 ","29,287,130 ","30,736,462 ","32,501,021 ","33,764,887 ","33,797,867 ","36,575,238 ","38,928,967 ","41,200,472 ","42,259,821 ","43,717,046 ","41,699,368 ","41,493,921 ","38,510,585 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Liabilities & Shareholders' Equity,"342,640 ","437,356 ","464,385 ","517,825 ","752,797 ","1,071,101 ","1,724,877 ","2,231,445 ","2,330,914 ","2,545,061 ","5,427,836 ","5,388,980 ","7,691,271 ","11,465,572 ","11,717,246 ","11,947,773 ","14,787,891 ","19,326,761 ","20,360,561 ","22,213,666 ","25,424,019 ","33,057,234 ","33,836,323 ","36,490,609 ","40,607,128 ","41,507,392 ","42,944,141 ","42,941,725 ","43,011,237 ","44,530,419 ","47,579,647 ","48,749,066 ","56,035,886 ","59,207,593 ","61,540,081 ","63,470,025 ","67,788,619 ","70,219,694 ","74,040,770 ","75,867,471 ","77,249,461 ","78,483,768 ","81,018,463 ","81,829,941 ","81,684,725 ","85,476,250 ","89,677,371 ","92,061,898 ","95,663,293 ","103,364,343 ","112,299,706 ","115,111,690 ","124,650,770 ","114,229,335 ","113,464,037 ","110,006,345 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplemental (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Common Shares Outstanding,"2,500,000 ","2,500,000 ","2,500,000 ","2,500,000 ","2,500,000 ","2,793,800 ","3,050,000 ","3,170,000 ","3,170,000 ","3,170,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,713,341 ","3,713,341 "
Shares Outs - Common Stock Primary Issue,"2,500,000 ","2,500,000 ","2,500,000 ","2,500,000 ","2,500,000 ","2,793,800 ","3,050,000 ","3,170,000 ","3,170,000 ","3,170,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,730,000 ","3,713,341 ","3,713,341 "
Treas Shares - Common Stock Prmry Issue,--,--,--,--,--,--,--,--,--,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"16,659 ","16,659 "
Minority Interest - Non Redeemable,2 ,1 ,3 ,4 ,12 ,11 ,"32,029 ","31,318 ","1,466 ","2,246 ","9,002 ","2,681 ","2,765 ","2,964 ","3,206 ","3,579 ","3,796 ","3,981 ","4,238 ","4,486 ","4,702 ","4,975 ","5,211 ","5,464 ","5,568 ","6,006 ","6,518 ","6,701 ","76,888 ","76,022 ","908,156 ","928,212 ","916,928 ","1,378,962 ","1,339,472 ","1,307,509 ","1,710,677 ","1,501,953 ","1,571,082 ","1,573,707 ","1,827,554 ","1,815,361 ","1,941,193 ","2,645,602 ","2,682,179 ","2,600,699 ","2,500,681 ","2,361,430 ","2,270,006 ","2,375,390 ","2,445,107 ","2,542,986 ","2,451,327 ","2,310,247 ","2,116,043 ","1,785,891 "
Total Equity & Minority Interest,"80,915 ","298,690 ","289,847 ","347,414 ","337,318 ","538,032 ","1,016,904 ","1,175,128 ","1,104,320 ","1,141,822 ","4,222,347 ","4,239,229 ","4,267,203 ","4,362,508 ","4,822,709 ","5,156,913 ","5,529,917 ","5,897,382 ","6,477,543 ","7,144,395 ","7,859,914 ","8,509,919 ","9,221,044 ","9,840,664 ","10,558,780 ","11,389,456 ","12,378,338 ","12,770,436 ","13,850,766 ","14,743,621 ","17,534,780 ","17,269,357 ","18,514,099 ","19,517,625 ","20,627,674 ","21,038,802 ","23,111,782 ","24,866,459 ","26,421,805 ","27,006,793 ","28,467,423 ","29,626,878 ","31,188,949 ","31,932,732 ","33,418,641 ","35,101,721 ","36,265,568 ","36,159,297 ","38,845,244 ","41,304,357 ","43,645,579 ","44,802,807 ","46,168,373 ","44,009,615 ","43,609,964 ","40,296,476 "
Full-Time Employees,--,--,--,--,--,--,--,--,--,--,--,--,--,172 ,--,--,--,191 ,--,--,--,--,--,--,--,218 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Property/Plant/Equipment - Net,--,--,--,--,--,--,--,--,--,"1,896,286 ","2,125,932 ","2,464,316 ","5,032,182 ","8,092,560 ","8,162,334 ","8,900,937 ","11,074,177 ","16,184,175 ","16,221,793 ","17,326,831 ","19,700,066 ","27,404,346 ","28,404,432 ","30,388,398 ","32,499,251 ","33,485,319 ","34,458,567 ","34,138,581 ","34,489,588 ","35,219,563 ","37,040,479 ","38,059,610 ","45,123,137 ","47,587,212 ","51,324,093 ","51,178,535 ","50,870,157 ","51,371,095 ","53,693,531 ","55,388,185 ","56,671,872 ","57,635,263 ","58,861,422 ","59,267,357 ","59,374,687 ","60,154,275 ","62,313,461 ","60,858,513 ","59,468,445 ","55,831,992 ","57,167,054 ","60,014,875 ","60,373,035 ","60,180,412 ","59,942,200 ","59,475,374 "
Intangibles - Net,--,--,--,--,--,0 ,"42,461 ","42,461 ","42,461 ","56,845 ","56,274 ","14,442 ","55,128 ","248,837 ","247,317 ","244,746 ","242,248 ","243,202 ","429,117 ","424,976 ","421,030 ","416,975 ","429,895 ","676,156 ","671,933 ","665,891 ","745,583 ","995,561 ","985,202 ","977,162 ","2,041,325 ","2,018,973 ","1,971,880 ","1,941,127 ","2,539,178 ","2,851,417 ","2,850,134 ","2,792,784 ","2,857,043 ","2,796,431 ","2,789,408 ","2,792,580 ","2,809,748 ","2,816,992 ","2,857,058 ","2,789,704 ","4,753,952 ","4,692,719 ","2,696,744 ","2,628,351 ","2,589,401 ","2,574,509 ","2,537,881 ","2,482,955 ","2,730,203 ","2,717,865 "
Goodwill - Net,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"962,546 ","962,546 ","962,546 ","936,524 ","915,298 ","880,039 ","875,154 ","889,808 ","1,265,088 ","1,237,980 ","1,446,040 ","1,337,333 ","1,364,065 ","1,402,476 ","1,461,242 ","1,453,471 ","1,463,634 ","1,482,729 ","1,436,520 ","1,374,751 ","1,368,179 ","1,390,249 ","1,384,920 ","1,193,088 ","1,219,909 ","1,214,048 "
"Accumulated Intangible Amort, Suppl.",--,--,--,--,--,--,--,--,--,--,--,849 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Right-of-Use Assets-Cap.Lease,Net-Suppl.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,016,969 ","1,687,458 ","1,642,486 ","1,778,324 ","1,746,137 ","1,725,757 ","1,732,645 ","1,733,642 ","1,766,858 ","1,776,184 ","1,640,166 ","1,610,605 ","1,588,428 ","1,563,058 ","1,531,145 ","1,505,279 ","1,481,758 ","1,477,237 "
Deferred Revenue - Current,--,--,--,--,--,"15,666 ","29,148 ","3,132 ","3,110 ",--,"5,039 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"468,153 ",--,--,--,--,--,--,--,--,--,--,--,--,--
"Curr. Port. of LT Capital Leases, Suppl.",--,--,--,--,--,--,--,--,--,"1,360 ",--,"3,680 ","3,959 ","4,503 ","3,787 ","3,669 ","3,712 ","3,716 ","4,521 ","4,579 ","4,695 ","4,600 ","4,826 ","6,121 ","7,904 ","7,063 ","6,066 ","5,524 ","1,087 ",836 ,"12,659 ","10,001 ","6,847 ",622 ,"1,130 ","4,549 ","5,033 ","1,062 ","133,773 ","138,213 ","93,154 ","98,741 ","67,176 ","65,492 ","61,367 ","56,973 ","69,304 ","77,647 ","33,029 ","47,167 ","102,115 ","103,473 ","95,657 ","83,393 ","60,000 ","57,329 "
"Curr Derivative Liab. Hedging, Suppl.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"25,815 ","14,494 ",--,"10,629 ","6,101 ","3,098 ","1,888 ",474 ,161 ,29 ,0 ,0 ,--,--,--,--,--,--
"Non-Curr Derivative Liab. Hedging, Suppl",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"31,700 ","26,047 ","19,625 ","3,205 ","2,252 ","1,555 ",0 ,0 ,--,--,0 ,--,--,--,--,"60,387 ","89,188 ","159,711 "
Total Current Assets less Inventory,"63,433 ","97,764 ","95,224 ","124,707 ","138,574 ","388,705 ","446,070 ","543,496 ","363,596 ","305,695 ","2,860,975 ","2,165,401 ","1,531,926 ","2,181,792 ","2,828,283 ","2,569,990 ","3,103,635 ","2,122,654 ","2,668,252 ","3,592,703 ","4,785,628 ","4,489,756 ","4,242,272 ","4,617,038 ","6,558,157 ","5,945,191 ","6,362,073 ","6,413,606 ","6,118,621 ","6,894,339 ","6,730,362 ","6,894,366 ","7,169,266 ","7,820,170 ","5,798,133 ","7,238,709 ","11,755,845 ","13,275,197 ","13,689,542 ","7,878,468 ","6,452,906 ","6,555,935 ","7,870,120 ","7,576,269 ","7,010,670 ","10,166,441 ","9,748,736 ","12,057,581 ","9,938,106 ","17,010,867 ","18,162,615 ","14,310,539 ","24,732,089 ","17,029,135 ","17,761,171 ","15,904,488 "
Net Debt Incl. Pref.Stock & Min.Interest,"45,233 ","(41,410)","(6,732)","94,426 ","350,274 ","287,704 ","294,787 ","573,628 ","937,147 ","1,130,945 ","(1,547,415)","(882,324)","1,498,400 ","4,507,028 ","3,888,099 ","4,361,152 ","6,063,290 ","10,737,492 ","11,291,426 ","11,587,973 ","14,056,766 ","21,621,250 ","20,433,573 ","24,093,864 ","25,952,974 ","25,711,351 ","25,072,322 ","24,872,245 ","24,503,758 ","23,269,279 ","24,519,776 ","25,596,311 ","25,088,148 ","25,126,875 ","32,700,653 ","34,050,945 ","33,747,242 ","33,420,746 ","34,664,424 ","41,465,028 ","42,909,013 ","43,744,307 ","42,514,644 ","44,004,189 ","43,480,497 ","44,649,592 ","46,217,115 ","47,893,545 ","50,231,326 ","51,808,652 ","58,759,213 ","62,946,369 ","63,677,873 ","64,221,900 ","64,084,652 ","63,782,367 "
"Tangible Book Value, Common Equity","80,913 ","298,689 ","289,844 ","347,410 ","337,306 ","538,021 ","942,413 ","1,101,350 ","1,060,392 ","1,082,731 ","4,157,072 ","4,180,845 ","4,209,310 ","4,110,708 ","4,572,186 ","4,908,588 ","5,283,873 ","5,650,199 ","6,044,188 ","6,714,933 ","7,434,182 ","8,087,969 ","8,785,938 ","9,159,044 ","9,881,279 ","10,717,559 ","11,626,237 ","11,768,174 ","12,788,676 ","13,690,436 ","13,622,753 ","13,359,626 ","14,662,745 ","15,261,013 ","15,833,726 ","15,999,837 ","17,675,817 ","19,681,914 ","20,728,592 ","21,398,675 ","22,404,421 ","23,681,604 ","25,073,943 ","25,067,662 ","26,418,162 ","28,257,846 ","27,547,301 ","27,622,419 ","32,441,974 ","34,925,865 ","37,242,892 ","38,295,063 ","39,794,245 ","38,023,325 ","37,543,809 ","34,578,672 "
"Debt & Lease, Pension Items (THB Thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Capital Leases, Supplemental",--,--,--,--,--,--,--,--,--,"4,286 ","10,966 ","11,792 ","16,292 ","17,314 ",--,--,--,"13,292 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital Lease Payments Due in Year 1,--,--,--,--,--,--,--,--,--,"1,360 ","3,307 ","3,680 ","3,959 ","4,503 ",--,--,--,"3,716 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital Lease Payments Due in Year 2,--,--,--,--,--,--,--,--,--,732 ,"1,915 ","2,028 ","3,083 ","3,203 ",--,--,--,"2,394 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital Lease Payments Due in Year 3,--,--,--,--,--,--,--,--,--,732 ,"1,915 ","2,028 ","3,083 ","3,203 ",--,--,--,"2,394 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital Lease Payments Due in Year 4,--,--,--,--,--,--,--,--,--,732 ,"1,915 ","2,028 ","3,083 ","3,203 ",--,--,--,"2,394 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital Lease Payments Due in Year 5,--,--,--,--,--,--,--,--,--,732 ,"1,915 ","2,028 ","3,083 ","3,203 ",--,--,--,"2,394 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital Lease Payments Due in 2-3 Years,--,--,--,--,--,--,--,--,--,"1,463 ","3,830 ","4,056 ","6,167 ","6,406 ",--,--,--,"4,788 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital Lease Payments Due in 4-5 Years,--,--,--,--,--,--,--,--,--,"1,463 ","3,830 ","4,056 ","6,167 ","6,406 ",--,--,--,"4,788 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Total Operating Leases, Supplemental",--,--,--,--,--,--,"9,436 ","8,022 ","7,271 ","4,230 ","3,484 ","230,475 ","222,735 ","263,652 ","260,355 ","210,000 ","340,000 ","356,000 ","394,000 ","509,000 ","490,000 ","219,000 ","192,292 ","164,828 ","281,000 ","409,000 ","542,212 ","811,995 ","620,855 ","554,000 ","892,000 ","684,000 ","581,000 ","536,000 ","812,000 ","1,122,000 ","534,000 ","517,000 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 1,--,--,--,--,--,--,"3,003 ","1,502 ",751 ,"2,986 ","2,986 ","11,346 ","1,990 ","9,274 ","8,187 ","9,000 ","49,000 ","52,000 ","59,000 ","103,000 ","113,000 ","109,000 ","109,345 ","102,163 ","144,000 ","24,000 ","30,360 ","175,358 ","27,762 ","46,000 ","153,000 ","40,000 ","34,000 ","36,000 ","174,000 ","260,000 ","44,000 ","46,000 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 2,--,--,--,--,--,--,"1,608 ","1,630 ","1,517 ",311 ,125 ,"9,182 ",0 ,"8,991 ","9,019 ","9,500 ","26,250 ","24,750 ","29,250 ","44,250 ","41,750 ","27,500 ","20,737 ","15,468 ","34,250 ","21,750 ","27,468 ","58,307 ","27,988 ","22,000 ","62,000 ","32,500 ","27,500 ","25,500 ","60,750 ","117,000 ","24,500 ","29,750 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
