,2007,2008,,2009,,2010,2011,2012,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Dec-2007, Jun-2008, Dec-2008, Mar-2009, Dec-2009, Dec-2010, Dec-2011, Jun-2012, Sep-2012, Dec-2012, Mar-2013, Jun-2013, Sep-2013, Dec-2013, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,1 ,3 ,3 ,4 ,4 ,3 ,6 ,7 ,7 ,8 ,12 ,14 ,39 ,59 ,71 ,51 ,42 ,73 ,73 ,11 ,12 ,8 ,9 ,43 ,38 ,34 ,25 ,23 ,28 ,34 ,34 ,33 ,36 ,18 ,19 ,15 ,14 ,17 ,16 ,19 ,31 
Period End Date,31-Dec-2007 ,30-Jun-2008 ,31-Dec-2008 ,31-Mar-2009 ,31-Dec-2009 ,31-Dec-2010 ,31-Dec-2011 ,30-Jun-2012 ,30-Sep-2012 ,31-Dec-2012 ,31-Mar-2013 ,30-Jun-2013 ,30-Sep-2013 ,31-Dec-2013 ,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Current Assets, Total",647 ,"8,231 ","3,518 ","8,913 ","1,806 ","10,783 ","19,201 ","22,269 ","36,215 ","50,767 ","22,453 ","37,887 ","119,792 ","61,070 ","42,518 ","41,071 ","108,247 ","17,520 ",0 ,"33,735 ","43,501 ","2,429,014 ",--,"1,292,609 ","2,147,719 ","1,365,847 ","1,271,727 ","1,248,441 ","837,388 ",0 ,--,--,--,"43,993 ","33,265 ","20,378 ","23,196 ","11,535 ","12,418 ","9,481 ","9,869 ","11,719 ","12,812 ","8,606 ","114,435 ","829,453 ","763,854 ","2,254,495 ","176,466 ","4,705,026 ","3,364,140 ","1,813,771 ","2,008,796 ","2,470,487 ","2,489,126 ","2,810,693 "
Restricted Cash - Current,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,429,014 ",--,"1,292,609 ","2,147,719 ","1,365,847 ","1,271,727 ","1,248,441 ","837,388 ",0 ,--,--,--,"43,993 ","33,265 ","20,378 ","23,196 ","11,535 ","12,418 ","9,481 ","9,869 ","11,719 ","12,812 ","8,606 ","16,996 ","16,878 ","1,748 ","1,780 ","1,794 ","11,972 ","10,215 ","29,909 ","29,752 ","10,162 ","10,439 ","10,407 "
Discontinued Operations - Current Asset,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"713,909 ","628,798 ","2,119,736 ",0 ,"3,918,640 ","2,035,611 ","164,555 ","164,555 ","548,399 ","384,094 ","384,094 "
Other Current Assets,647 ,"8,231 ","3,518 ","8,913 ","1,806 ","10,783 ","19,201 ","22,269 ","36,215 ","50,767 ","22,453 ","37,887 ","119,792 ","61,070 ","42,518 ","41,071 ","108,247 ","17,520 ",0 ,"33,735 ","43,501 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"97,439 ","98,667 ","133,308 ","132,979 ","174,672 ","774,414 ","1,318,314 ","1,619,307 ","1,814,489 ","1,911,926 ","2,094,593 ","2,416,192 "
Total Current Assets,"158,123 ","230,646 ","172,014 ","187,129 ","240,194 ","549,897 ","624,612 ","695,592 ","524,356 ","466,820 ","3,002,526 ","2,328,903 ","1,694,063 ","2,402,168 ","2,992,664 ","2,751,397 ","3,291,709 ","2,269,648 ","2,849,502 ","3,762,025 ","4,889,271 ","4,665,020 ","4,367,676 ","4,753,449 ","6,720,821 ","6,132,214 ","6,514,407 ","6,590,761 ","6,313,085 ","7,022,282 ","6,973,470 ","7,194,555 ","7,444,086 ","8,150,132 ","6,125,291 ","7,717,179 ","12,326,661 ","14,032,875 ","14,418,149 ","8,781,183 ","7,195,665 ","7,389,234 ","8,880,332 ","9,164,322 ","8,588,522 ","11,649,587 ","11,975,053 ","15,193,351 ","15,044,368 ","22,527,284 ","24,458,370 ","22,157,165 ","32,007,074 ","24,441,319 ","24,570,502 ","23,803,378 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Property/Plant/Equipment, Total - Gross","206,690 ","235,113 ","330,260 ","374,460 ","529,314 ","586,249 ","1,100,065 ","1,292,127 ","1,621,307 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Buildings - Gross,"58,290 ","58,711 ","63,339 ","77,748 ","78,322 ","81,864 ","92,109 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Land/Improvements - Gross,"55,789 ","55,789 ","55,789 ","55,789 ","55,789 ","55,789 ","244,351 ","1,292,127 ","1,621,307 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Machinery/Equipment - Gross,"78,426 ","92,751 ","94,725 ","196,111 ","241,755 ","406,029 ","448,748 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
