Sermsang Power Corporation PCL | Balance Sheet                                25-Sep-2024 16:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,2017,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Sep-2016, Dec-2016, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,11 ,N/A ,N/A ,4 ,5 ,3 ,5 ,3 ,4 ,5 ,8 ,9 ,11 ,17 ,12 ,22 ,24 ,12 ,18 ,33 ,32 ,48 ,48 ,N/A ,38 ,26 ,58 ,62 ,29 ,32 
Period End Date,30-Sep-2016 ,31-Dec-2016 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Property/Plant/Equipment, Total - Gross",--,--,"4,496,718 ","5,119,451 ","5,773,002 ","6,428,449 ","7,151,344 ","8,069,494 ","8,900,033 ","9,712,416 ","10,246,486 ","10,112,971 ","10,560,818 ","11,300,739 ","11,471,799 ","12,118,220 ","12,578,114 ","12,260,801 ","14,319,582 ","17,698,657 ",--,--,--,--,--,--,--,--,--,--,--
Other Property/Plant/Equipment - Gross,--,--,"4,496,718 ","5,119,451 ","5,773,002 ","6,428,449 ","7,151,344 ","8,069,494 ","8,900,033 ","9,712,416 ","10,246,486 ","10,112,971 ","10,560,818 ","11,300,739 ","11,471,799 ","12,118,220 ","12,578,114 ","12,260,801 ","14,319,582 ","17,698,657 ",--,--,--,--,--,--,--,--,--,--,--
"Property/Plant/Equipment, Total - Net","3,432,914 ","3,684,953 ","4,210,595 ","4,803,498 ","5,427,213 ","6,046,464 ","6,718,199 ","7,582,223 ","8,352,084 ","9,107,537 ","9,577,566 ","9,357,462 ","9,722,104 ","11,190,916 ","11,255,725 ","11,783,685 ","12,015,448 ","11,605,241 ","13,527,578 ","16,645,897 ","16,246,597 ","15,617,236 ","14,329,694 ","14,490,002 ","14,035,630 ","13,762,816 ","13,563,123 ","13,631,506 ","13,336,911 ","16,404,425 ","16,590,626 "
"Accumulated Depreciation, Total",--,--,"(286,123)","(315,953)","(345,789)","(381,985)","(433,145)","(487,271)","(547,949)","(604,879)","(668,920)","(755,509)","(838,714)","(964,602)","(1,035,745)","(1,177,708)","(1,329,155)","(1,394,517)","(1,537,626)","(1,820,466)",--,--,--,--,--,--,--,--,--,--,--
"Intangibles, Net","329,387 ","535,997 ","528,340 ","676,172 ","654,207 ","674,150 ","686,603 ","717,355 ","950,633 ","943,929 ","1,056,904 ","1,076,086 ","1,045,830 ","1,123,118 ","1,120,333 ","1,152,758 ","1,048,316 ","1,027,360 ","1,047,943 ","1,098,154 ","1,232,466 ","1,167,133 ","982,604 ","998,513 ","946,518 ","920,921 ","907,999 ","891,005 ","846,687 ","3,048,418 ","3,102,012 "
Intangibles - Gross,--,--,"531,162 ","679,299 ","657,640 ","678,795 ","694,363 ","728,298 ","978,605 ","975,034 ","1,092,290 ","1,118,475 ","1,094,390 ","1,183,003 ","1,186,714 ","1,233,828 ","1,137,057 ","1,126,852 ","1,161,108 ","1,231,155 ",--,--,--,--,--,--,--,--,--,--,--
Accumulated Intangible Amortization,--,--,"(2,822)","(3,127)","(3,433)","(4,645)","(7,760)","(10,943)","(27,972)","(31,105)","(35,386)","(42,389)","(48,560)","(59,885)","(66,381)","(81,070)","(88,742)","(99,492)","(113,165)","(133,001)",--,--,--,--,--,--,--,--,--,--,--
Long Term Investments,--,--,--,--,--,--,--,--,"17,079 ","17,079 ","26,661 ","26,661 ","26,041 ","26,041 ","26,041 ","26,041 ","32,087 ","32,087 ","32,087 ","32,087 ","32,087 ","1,179,163 ","1,241,472 ","1,266,235 ","1,070,383 ","1,156,363 ","1,072,802 ","1,143,934 ","1,233,196 ","451,343 ","579,719 "
LT Investment - Affiliate Companies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,0 ,0 ,"987,705 ","1,007,296 ","1,005,126 ","819,760 ","874,122 ","803,401 ","811,232 ","787,147 ",0 ,0 
LT Investments - Other,--,--,--,--,--,--,--,--,"17,079 ","17,079 ","26,661 ","26,661 ","26,041 ","26,041 ","26,041 ","26,041 ","32,087 ","32,087 ","32,087 ","32,087 ","32,087 ","191,458 ","234,176 ","261,109 ","250,623 ","282,241 ","269,401 ","332,702 ","446,049 ","451,343 ","579,719 "
Note Receivable - Long Term,"130,586 ","155,781 ","183,533 ","228,127 ","246,378 ","283,507 ","334,159 ","242,964 ","68,634 ","15,814 ","14,803 ","14,556 ","17,412 ","17,705 ","17,740 ","16,317 ","53,415 ","21,930 ","25,261 ","65,373 ","71,713 ","74,811 ","71,793 ","69,462 ","74,959 ","71,629 ","69,816 ","68,390 ","84,258 ","72,310 ","107,549 "
"Other Long Term Assets, Total",148 ,293 ,282 ,"147,322 ","141,559 ","184,984 ","142,074 ","256,491 ","489,353 ","489,630 ","548,771 ","589,519 ","643,929 ","780,135 ","836,307 ","1,632,830 ","1,471,328 ","1,603,683 ","1,882,627 ","2,159,231 ","1,694,011 ","1,700,876 ","1,572,132 ","879,332 ","893,819 ","907,723 ","863,561 ","818,484 ","784,708 ","1,051,879 ","1,255,279 "
Deferred Charges,--,--,--,--,"141,003 ","140,653 ","141,077 ","131,940 ","135,996 ","130,963 ","127,876 ","124,624 ","119,062 ",0 ,0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Defered Income Tax - Long Term Asset,121 ,213 ,278 ,310 ,293 ,340 ,387 ,434 ,482 ,543 ,603 ,664 ,969 ,"6,089 ","6,058 ","5,734 ","5,486 ","4,768 ","4,694 ","4,298 ","3,869 ","5,555 ",552 ,634 ,741 ,781 ,"2,397 ",861 ,"4,459 ","15,755 ",987 
Restricted Cash - Long Term,--,--,--,--,--,--,--,"109,211 ","96,733 ","105,025 ","116,530 ","162,367 ","159,037 ","388,001 ","372,580 ","638,968 ","719,751 ","714,944 ","729,347 ","907,992 ","1,018,188 ","955,219 ","809,216 ","503,678 ","424,011 ","419,269 ","413,328 ","442,036 ","435,117 ","678,378 ","915,784 "
Other Long Term Assets,27 ,81 ,4 ,"147,012 ",264 ,"43,991 ",610 ,"14,906 ","256,141 ","253,099 ","303,762 ","301,864 ","364,861 ","386,045 ","457,669 ","988,128 ","746,091 ","883,971 ","1,148,586 ","1,246,941 ","671,954 ","740,102 ","762,364 ","375,020 ","469,067 ","487,673 ","447,836 ","375,587 ","345,132 ","357,746 ","338,508 "
Total Assets,"4,455,554 ","4,962,643 ","5,668,804 ","7,698,523 ","8,269,843 ","8,890,523 ","9,786,796 ","11,182,426 ","11,892,728 ","12,240,174 ","12,696,161 ","12,884,484 ","13,045,127 ","15,056,217 ","15,206,416 ","16,533,081 ","16,925,387 ","16,481,474 ","18,459,105 ","22,339,883 ","24,063,310 ","25,809,552 ","23,278,223 ","23,157,624 ","21,292,046 ","21,268,354 ","21,846,958 ","21,846,204 ","21,067,131 ","25,922,712 ","25,238,300 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liabilities (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payable/Accrued,"22,198 ","32,959 ","28,445 ","75,435 ","256,696 ","592,382 ","278,294 ","296,279 ","503,820 ","815,908 ","528,826 ","497,688 ","208,658 ","159,104 ","463,977 ","471,395 ","142,691 ","134,791 ","144,592 ","3,290,756 ","3,200,596 ","3,226,041 ","3,265,700 ","283,399 ","222,619 ","204,666 ","199,585 ","230,954 ","260,261 ","281,274 ","282,961 "
Notes Payable/Short Term Debt,0 ,117 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"366,956 ","373,832 ","391,570 ","370,531 ","761,797 ","291,334 ","197,698 ","198,543 ","325,566 ","518,384 ","325,877 ","18,000 ","18,000 ","30,212 ","117,212 ","28,212 ","35,436 ","14,436 ","170,230 ","237,404 "
