Cash and Short Term Investments,"593,169 ","592,651 ","965,321 ","1,297,521 ","1,855,821 ","1,603,162 ","2,007,954 ","1,798,922 ","2,065,181 ","2,215,131 ","3,697,070 ","3,381,799 ","3,322,824 ","3,409,415 ","6,877,118 ","7,789,024 ","6,475,300 ","5,859,278 ","4,737,601 ","4,853,725 ","4,464,417 ","4,123,659 ","4,156,324 ","3,862,165 ","4,234,370 ","4,020,487 ","7,910,236 ","5,920,978 ","4,909,039 ","5,159,227 ","4,730,920 ","5,616,047 ","8,900,588 ","6,436,443 ","6,367,474 ","6,538,188 ","7,083,789 ","6,975,860 ","5,854,789 ","7,359,100 ","7,271,246 ","5,761,257 ","6,064,240 ","6,390,648 ","6,958,780 ","6,920,608 ","8,989,364 "
"Tangible Book Value, Common Equity","9,219,552 ","9,312,439 ","9,235,610 ","11,666,477 ","11,589,785 ","11,740,626 ","11,775,182 ","11,883,073 ","12,048,125 ","12,158,431 ","17,733,614 ","17,505,754 ","17,754,445 ","17,740,174 ","17,608,690 ","17,822,264 ","17,743,736 ","17,826,380 ","17,398,007 ","17,628,918 ","17,654,743 ","17,817,309 ","17,714,365 ","18,154,527 ","18,239,742 ","18,351,378 ","21,906,778 ","22,929,894 ","23,464,962 ","22,430,417 ","22,560,958 ","23,226,769 ","23,699,467 ","23,498,448 ","23,741,525 ","24,447,057 ","24,767,178 ","24,967,984 ","24,688,748 ","25,540,023 ","26,493,896 ","26,488,996 ","25,420,595 ","26,176,023 ","27,218,752 ","26,261,353 ","25,566,337 "
"Debt & Lease, Pension Items (THB Thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Operating Leases, Supplemental",--,--,--,--,--,--,--,--,--,--,--,--,"54,800 ",--,--,--,"36,100 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 1,--,--,--,--,--,--,--,--,--,--,--,--,"25,800 ",--,--,--,"26,600 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 2,--,--,--,--,--,--,--,--,--,--,--,--,"7,250 ",--,--,--,"2,375 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 3,--,--,--,--,--,--,--,--,--,--,--,--,"7,250 ",--,--,--,"2,375 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 4,--,--,--,--,--,--,--,--,--,--,--,--,"7,250 ",--,--,--,"2,375 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 5,--,--,--,--,--,--,--,--,--,--,--,--,"7,250 ",--,--,--,"2,375 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Pymts. Due in 2-3 Years,--,--,--,--,--,--,--,--,--,--,--,--,"14,500 ",--,--,--,"4,750 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Pymts. Due in 4-5 Years,--,--,--,--,--,--,--,--,--,--,--,--,"14,500 ",--,--,--,"4,750 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Oper. Lse. Pymts. Due in Year 6 & Beyond,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Funded Status,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(46,287)","(49,155)","(52,023)","(52,883)","(57,708)","(60,885)","(64,062)","(64,539)","(63,486)","(67,230)","(70,787)","(83,123)","(87,774)","(92,343)","(96,909)","(101,475)",--,--,--,--,--,--,--,--,--,--
Unfunded Plan Obligations,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"46,287 ","49,155 ","52,023 ","52,883 ","57,708 ","60,885 ","64,062 ","64,539 ","63,486 ","67,230 ","70,787 ","83,123 ","87,774 ","92,343 ","96,909 ","101,475 ",--,--,--,--,--,--,--,--,--,--
Net Assets Recognized on Balance Sheet,--,--,"(2,614)","(2,989)","(6,478)","(7,360)","(8,516)","(9,673)","(10,830)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Accrued Liabilities - Domestic,--,--,"(2,614)","(2,989)","(6,478)","(7,360)","(8,516)","(9,673)","(10,830)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Plan Obligations,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"46,287 ","49,155 ","52,023 ","52,883 ","57,708 ","60,885 ","64,062 ","64,539 ","63,486 ","67,230 ","70,787 ","83,123 ","87,774 ","92,343 ","96,909 ","101,475 ",--,--,--,--,--,--,--,--,--,--
