Cash and Short Term Investments,"593,169 ","592,651 ","965,321 ","1,297,521 ","1,855,821 ","1,603,162 ","2,007,954 ","1,798,922 ","2,065,181 ","2,215,131 ","3,697,070 ","3,381,799 ","3,322,824 ","3,409,415 ","6,877,118 ","7,789,024 ","6,475,300 ","5,859,278 ","4,737,601 ","4,853,725 ","4,464,417 ","4,123,659 ","4,156,324 ","3,862,165 ","4,234,370 ","4,020,487 ","7,910,236 ","5,920,978 ","4,909,039 ","5,159,227 ","4,730,920 ","5,616,047 ","8,900,588 ","6,436,443 ","6,367,474 ","6,538,188 ","7,083,789 ","6,975,860 ","5,854,789 ","7,359,100 ","7,271,246 ","5,761,257 ","6,064,240 ","6,390,648 ","6,958,780 ","6,920,608 ","8,989,364 "
"Accumulated Depreciation, Total","(55,619)","(61,061)","(67,495)","(80,756)","(75,881)",--,--,--,--,--,--,--,"(98,600)",--,--,--,"(112,934)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Intangibles, Net",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"93,670 ","97,651 ","97,360 ","94,843 ","93,685 ","91,572 ","88,841 ","86,136 ","83,721 ","82,825 ","80,667 ","77,802 ","74,947 ","72,718 ","70,121 ","67,649 ","66,578 ","63,838 ","60,965 ","58,631 ","55,933 ","53,639 ","50,776 ","47,919 ","45,706 ","42,877 ","40,052 "
"Utility Plant, Net","28,256,540 ","27,986,145 ","32,720,682 ","32,143,961 ","32,102,108 ","26,193,938 ","25,926,473 ","25,656,069 ","25,385,665 ","25,121,139 ","24,853,674 ","24,583,270 ","29,548,135 ","24,048,340 ","23,780,875 ","23,510,470 ","28,242,542 ","22,975,540 ","22,708,075 ","22,437,671 ","22,167,290 ","21,902,613 ","21,634,996 ","21,364,437 ","21,096,265 ","23,685,014 ","19,625,511 ","19,366,955 ","19,108,399 ","18,853,352 ","18,598,305 ","18,340,455 ","18,082,605 ","17,829,670 ","17,573,924 ","17,315,368 ","17,056,812 ","16,803,877 ","16,548,131 ","16,289,575 ","16,031,019 ","15,778,083 ","15,522,338 ","15,263,782 ","15,020,587 ","14,765,280 ","14,515,539 "
Utility Plant - Gross,"30,165,337 ","30,166,696 ","35,177,688 ","34,926,736 ","35,225,823 ","26,458,464 ","26,458,464 ","26,458,464 ","29,428,223 ","25,385,665 ","25,385,665 ","25,385,665 ","35,283,543 ","24,312,865 ","24,312,865 ","24,312,865 ","35,290,532 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Utility Plant Accumulated Depreciation,"(1,908,797)","(2,180,551)","(2,457,006)","(2,782,775)","(3,123,715)","(264,526)","(531,991)","(802,395)","(4,042,558)","(264,526)","(531,991)","(802,395)","(5,735,408)","(264,525)","(531,990)","(802,395)","(7,047,990)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Total Utility Plant, Net","28,256,540 ","27,986,145 ","32,720,682 ","32,143,961 ","32,102,108 ","26,193,938 ","25,926,473 ","25,656,069 ","25,385,665 ","25,121,139 ","24,853,674 ","24,583,270 ","29,548,135 ","24,048,340 ","23,780,875 ","23,510,470 ","28,242,542 ","22,975,540 ","22,708,075 ","22,437,671 ","22,167,290 ","21,902,613 ","21,634,996 ","21,364,437 ","21,096,265 ","23,685,014 ","19,625,511 ","19,366,955 ","19,108,399 ","18,853,352 ","18,598,305 ","18,340,455 ","18,082,605 ","17,829,670 ","17,573,924 ","17,315,368 ","17,056,812 ","16,803,877 ","16,548,131 ","16,289,575 ","16,031,019 ","15,778,083 ","15,522,338 ","15,263,782 ","15,020,587 ","14,765,280 ","14,515,539 "
Long Term Investments,"1,351,050 ","1,730,797 ","561,858 ","570,081 ","585,798 ","600,109 ","611,896 ","673,837 ","700,718 ","1,183,006 ","5,954,086 ","6,253,185 ","6,691,874 ","6,985,626 ","8,819,802 ","10,403,070 ","11,114,279 ","12,536,731 ","9,537,753 ","10,056,749 ","10,590,156 ","11,054,662 ","13,687,891 ","14,121,802 ","14,549,645 ","11,845,773 ","11,946,202 ","11,927,044 ","12,420,056 ","11,369,816 ","11,738,963 ","12,126,614 ","12,724,803 ","14,530,542 ","16,681,456 ","17,127,517 ","17,575,605 ","17,732,233 ","18,500,295 ","18,926,170 ","20,604,941 ","20,437,566 ","19,940,435 ","20,381,076 ","21,219,805 ","20,802,237 ","21,220,992 "
LT Investment - Affiliate Companies,"1,008,333 ","1,383,947 ","208,804 ","212,362 ","219,147 ","229,336 ","237,236 ","226,804 ","235,818 ","245,073 ","4,705,441 ","4,779,904 ","5,077,067 ","5,235,869 ","5,529,580 ","5,898,713 ","6,371,175 ","7,165,883 ","7,457,306 ","7,776,571 ","8,127,208 ","8,488,429 ","10,844,082 ","11,193,734 ","11,474,165 ","11,728,078 ","11,884,628 ","11,872,529 ","12,314,999 ","11,253,727 ","11,621,925 ","12,117,562 ","12,710,617 ","14,516,356 ","16,667,270 ","17,127,046 ","17,575,106 ","17,731,470 ","18,500,295 ","18,926,170 ","20,604,941 ","20,437,566 ","19,940,435 ","20,381,076 ","21,219,805 ","20,802,237 ","21,220,992 "
LT Investments - Other,"342,718 ","346,850 ","353,054 ","357,719 ","366,651 ","370,773 ","374,660 ","447,033 ","464,900 ","937,933 ","1,248,645 ","1,473,281 ","1,614,807 ","1,749,757 ","3,290,222 ","4,504,357 ","4,743,104 ","5,370,848 ","2,080,447 ","2,280,178 ","2,462,948 ","2,566,233 ","2,843,809 ","2,928,068 ","3,075,480 ","117,695 ","61,574 ","54,515 ","105,058 ","116,089 ","117,038 ","9,052 ","14,186 ","14,186 ","14,186 ",471 ,499 ,763 ,--,--,--,--,--,--,--,--,--
Note Receivable - Long Term,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,782,065 ","5,797,953 ","6,826,830 ","6,847,745 ","6,865,560 ","6,882,372 ","6,898,665 ","6,911,817 ","6,925,714 ","6,940,356 ","6,866,372 ","6,876,485 ","6,887,261 ","6,072,872 ","6,074,418 ","7,039,096 ","7,059,733 ","7,037,188 ","6,594,169 ","6,607,175 ","6,618,781 "
