"Property/Plant/Equipment, Total - Net","12,614,453 ","16,268,130 ","18,490,460 ","19,847,443 ","20,587,980 ","21,606,814 ","22,517,868 ","23,011,775 ","23,624,151 ","24,749,773 ","26,221,757 ","27,216,955 ","28,546,609 ","30,886,682 ","34,162,424 ","34,658,039 ","35,304,851 ","36,314,821 ","36,929,905 ","37,509,428 ","38,204,106 ","38,561,198 ","39,705,338 ","40,582,197 ","41,601,947 ","42,700,436 ","43,936,733 ","45,041,026 ","46,927,439 ","50,395,494 ","51,354,814 ","53,355,873 "
Long Term Investments,"5,514 ","5,480 ","5,463 ","5,446 ","5,428 ","5,410 ","9,349 ","9,331 ","9,313 ","5,337 ","5,319 ","5,300 ","5,281 ","186,532 ","186,413 ","188,294 ","188,172 ","188,049 ","187,927 ","187,803 ","185,677 ","670,890 ","490,493 ","490,813 ","491,002 ","736,067 ","737,005 ","737,908 ","739,262 ","740,180 ","741,834 ","743,538 "
Income Taxes Payable,--,--,--,--,--,--,"39,575 ","78,286 ","19,916 ","35,622 ","13,677 ","47,732 ","17,063 ","35,555 ","50,358 ","46,326 ","27,688 ","47,466 ","88,027 ","51,126 ","18,038 ","43,958 ","44,252 ",137 ,0 ,230 ,"6,270 ",421 ,"5,760 ",411 ,"8,388 ",0 
Other Payables,"1,748,009 ","2,483,412 ","2,934,667 ","3,102,532 ","2,757,990 ","2,935,277 ","2,079,444 ","2,097,519 ","2,543,614 ","1,691,235 ","1,196,406 ","1,244,406 ","1,479,722 ","1,677,945 ","863,317 ","1,028,075 ","896,723 ","857,443 ","601,101 ","456,321 ","349,800 ","354,486 ","725,927 ","763,654 ","1,312,957 ","1,176,618 ","1,133,340 ","989,731 ","1,773,943 ","2,187,910 ","2,823,693 ","2,569,685 "
Other Current Liabilities,"47,722 ","49,573 ","49,730 ","48,701 ","58,616 ","55,892 ","66,934 ","82,405 ","86,149 ","118,708 ","119,362 ","120,858 ","123,920 ","146,076 ","123,131 ","169,904 ","183,186 ","139,057 ","134,445 ","143,854 ","147,258 ","143,250 ","116,138 ","109,785 ","96,754 ","97,057 ","109,079 ","132,967 ","94,392 ","91,674 ","91,767 ","92,293 "
Total Current Liabilities,"2,096,648 ","2,824,871 ","5,632,790 ","3,302,877 ","2,986,931 ","3,164,417 ","2,481,556 ","2,596,771 ","2,898,393 ","2,237,191 ","1,752,961 ","1,714,803 ","2,063,243 ","2,334,269 ","1,625,624 ","2,588,047 ","1,988,040 ","5,784,194 ","5,268,568 ","5,195,396 ","4,955,960 ","5,058,461 ","5,408,127 ","5,517,303 ","5,887,585 ","5,115,055 ","4,769,932 ","4,864,801 ","9,364,555 ","6,791,053 ","7,635,186 ","7,310,993 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Debt,"4,135,021 ","6,860,475 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"4,000,000 ","4,000,000 ","4,000,000 ","8,000,000 ","8,000,000 ","8,591,415 ","8,588,994 ","12,638,673 ","8,645,181 ","8,649,304 ","11,643,024 ","11,627,848 ","12,153,804 ","12,156,865 ","12,099,212 ","16,779,444 ","13,753,268 ","19,507,824 ","19,450,347 ","15,428,019 ","19,632,384 ","19,568,759 ","23,578,083 "
Long Term Debt,"4,135,021 ","6,860,475 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"4,000,000 ","4,000,000 ","4,000,000 ","8,000,000 ","8,000,000 ","8,000,000 ","8,000,000 ","12,000,000 ","8,000,000 ","8,000,000 ","11,000,000 ","11,000,000 ","11,523,600 ","11,523,600 ","11,523,600 ","16,216,600 ","13,216,600 ","18,936,600 ","18,936,600 ","14,936,600 ","17,936,600 ","17,936,600 ","21,936,600 "
Capital Lease Obligations,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"591,415 ","588,994 ","638,673 ","645,181 ","649,304 ","643,024 ","627,848 ","630,204 ","633,265 ","575,612 ","562,844 ","536,668 ","571,224 ","513,747 ","491,419 ","1,695,784 ","1,632,159 ","1,641,483 "
Total Debt,"4,330,296 ","7,055,475 ","2,496,629 ",0 ,0 ,0 ,0 ,0 ,0 ,"4,000,000 ","4,000,000 ","4,000,000 ","8,000,000 ","8,000,000 ","8,780,675 ","9,657,352 ","12,998,278 ","12,899,655 ","12,664,036 ","15,659,408 ","15,650,433 ","16,174,045 ","16,177,519 ","16,122,852 ","20,803,251 ","16,778,558 ","22,534,763 ","22,477,509 ","22,451,805 ","23,672,437 ","23,608,159 ","27,617,100 "
Minority Interest,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,3 ,3 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 
"Other Liabilities, Total","141,880 ","163,009 ","165,144 ","181,550 ","183,802 ","188,457 ","190,903 ","229,212 ","242,179 ","255,656 ","340,572 ","373,126 ","377,536 ","407,974 ","412,936 ","414,937 ","416,975 ","417,639 ","418,291 ","419,705 ","421,005 ","421,264 ","422,548 ","423,852 ","151,657 ","146,622 ","146,622 ","146,498 ","146,281 ","142,149 ","142,149 ","141,847 "
Pension Benefits - Underfunded,"42,934 ","58,148 ","59,557 ","64,990 ","66,399 ","70,645 ","72,257 ","73,870 ","75,482 ","87,698 ","89,623 ","120,238 ","122,673 ","151,119 ","154,096 ","154,096 ","154,096 ","152,705 ","152,705 ","152,705 ","152,705 ","151,657 ","151,657 ","151,657 ","151,657 ","146,622 ","146,622 ","146,498 ","146,281 ","142,149 ","142,149 ","141,847 "
Other Long Term Liabilities,"98,946 ","104,861 ","105,587 ","116,560 ","117,403 ","117,812 ","118,646 ","155,342 ","166,697 ","167,958 ","250,949 ","252,888 ","254,863 ","256,855 ","258,840 ","260,841 ","262,879 ","264,934 ","265,586 ","267,000 ","268,300 ","269,607 ","270,891 ","272,195 ",0 ,0 ,--,--,--,--,--,--
