Period End Date,Current Ratio,Pretax ROE,Times Interest Earned,Reinvestment Rate,Debt/Equity,Quick Ratio,Gross Margin,ROE,x Earnings Retention,Net Margin,x Tax Complement,x Leverage (Assets/Equity),Pretax Margin,Cash Cycle (Days),% LT Debt to Total Capital,(Total Debt - Cash) / EBITDA,x Pretax Margin,Effective Tax Rate,Pretax ROA,EBITDA Margin,Assets/Equity,Operating Margin,Asset Turnover,Company name,Fraud
Jun-2012 ,0.0,0.0,0.5,0.0,0.0,0.0,49.1,0.0,0.0,-49.8,0.0,0.0,-50.5,0.0,0.0,0.0,-50.5,0.0,0.0,62.0,0.0,24.8,0.0,CKP,0
Sep-2012 ,0.0,0.0,1.2,0.0,0.0,0.0,58.2,0.0,1.0,23.3,0.41,0.0,23.7,0.0,0.0,0.0,23.7,0.5,0.0,68.4,0.0,40.2,0.0,CKP,0
Dec-2012 ,0.54,0.0,1.2,0.0,2.45,0.0,55.8,0.0,1.0,8.6,0.37,4.9,8.7,0.0,43.1,0.0,8.7,0.3,0.0,63.5,4.9,36.3,0.0,CKP,0
Mar-2013 ,0.4,2.7,1.2,1.0,2.35,0.0,58.6,1.0,1.0,24.8,0.37,4.8,25.2,43.4,41.5,32.69,25.2,0.3,0.6,65.2,4.8,37.9,0.02,CKP,0
Jun-2013 ,0.44,-1.6,1.3,-0.8,2.76,0.0,60.6,-0.8,0.0,-14.4,0.0,5.42,-14.5,34.7,44.4,32.92,-14.5,0.0,-0.3,67.6,5.42,40.3,0.02,CKP,0
Sep-2013 ,1.13,4.3,2.2,1.7,2.03,0.0,50.7,1.7,1.0,22.6,0.4,4.34,22.7,32.2,44.5,20.84,22.7,0.2,0.9,56.5,4.34,39.5,0.04,CKP,0
Dec-2013 ,1.4,0.4,1.0,0.2,2.09,0.0,36.6,0.2,1.0,3.1,0.42,4.36,3.1,33.5,45.2,33.77,3.1,-0.9,0.1,42.0,4.36,20.5,0.03,CKP,0
Mar-2014 ,1.39,1.9,1.7,1.0,2.0,0.0,43.4,1.0,1.0,12.7,0.55,4.24,12.8,16.6,43.9,25.41,12.8,0.0,0.4,49.6,4.24,31.2,0.03,CKP,0
Jun-2014 ,1.74,0.2,1.0,0.3,1.99,0.0,34.4,0.3,1.0,1.8,1.3,4.22,1.8,40.2,44.1,33.56,1.8,0.0,0.1,41.9,4.22,20.4,0.03,CKP,0
Sep-2014 ,1.56,1.6,1.6,0.8,1.9,0.0,40.6,0.8,1.0,10.6,0.54,4.13,10.7,35.5,43.0,26.09,10.7,0.0,0.4,46.9,4.13,27.4,0.03,CKP,0
Dec-2014 ,1.87,3.7,2.4,0.9,1.87,1.85,44.1,1.8,0.49,22.6,0.48,4.09,22.8,36.7,42.8,19.66,22.8,0.1,0.9,53.0,4.09,36.0,0.04,CKP,0
Mar-2015 ,1.75,1.1,1.5,0.7,1.8,1.73,38.1,0.7,1.0,8.3,0.61,4.03,8.3,48.0,41.9,26.66,8.3,0.0,0.3,45.7,4.03,25.7,0.03,CKP,0
Jun-2015 ,2.39,1.7,1.7,0.9,1.26,2.37,41.3,0.9,1.0,15.3,0.52,3.1,15.4,36.4,37.9,23.56,15.4,0.0,0.5,48.9,3.1,28.9,0.03,CKP,0
Sep-2015 ,2.04,0.3,1.1,0.2,1.25,2.01,33.2,0.2,1.0,3.4,0.71,3.09,3.4,38.1,37.7,29.06,3.4,0.3,0.1,42.5,3.09,20.1,0.03,CKP,0
Dec-2015 ,2.15,2.0,2.3,0.0,1.23,2.13,41.7,0.9,-0.02,17.7,0.47,3.07,17.9,23.2,37.5,19.58,17.9,0.0,0.6,48.6,3.07,31.4,0.04,CKP,0
Mar-2016 ,1.96,0.5,1.5,0.3,1.19,1.94,39.5,0.3,1.0,5.3,0.58,3.04,5.4,20.6,36.6,24.98,5.4,0.1,0.2,47.0,3.04,25.7,0.03,CKP,0
Jun-2016 ,3.26,0.8,1.6,0.4,1.51,3.24,39.6,0.4,1.0,8.9,0.43,3.37,9.4,21.9,42.1,25.59,9.4,4.6,0.3,47.5,3.37,26.0,0.03,CKP,0
