Exchange Date,Close,Company name,Fraud
2019-06-12,1.79,TRTm,0
2019-06-13,1.79,TRTm,0
2019-06-14,1.82,TRTm,0
2019-06-15,1.82,TRTm,0
2019-06-16,1.82,TRTm,0
2019-06-17,1.82,TRTm,0
2019-06-18,1.82,TRTm,0
2019-06-19,1.82,TRTm,0
2019-06-20,1.82,TRTm,0
2019-06-21,1.87,TRTm,0
2019-06-22,1.87,TRTm,0
2019-06-23,1.87,TRTm,0
2019-06-24,1.87,TRTm,0
2019-06-25,1.87,TRTm,0
2019-06-26,1.87,TRTm,0
2019-06-27,1.87,TRTm,0
2019-06-28,1.94,TRTm,0
2019-06-29,1.94,TRTm,0
2019-06-30,1.94,TRTm,0
2019-07-01,1.94,TRTm,0
2019-07-02,1.94,TRTm,0
2019-07-03,1.94,TRTm,0
2019-07-04,1.94,TRTm,0
2019-07-05,1.97,TRTm,0
2019-07-06,1.97,TRTm,0
2019-07-07,1.97,TRTm,0
2019-07-08,1.97,TRTm,0
2019-07-09,1.97,TRTm,0
2019-07-10,1.97,TRTm,0
2019-07-11,1.97,TRTm,0
2019-07-12,2.02,TRTm,0
2019-07-13,2.02,TRTm,0
2019-07-14,2.02,TRTm,0
2019-07-15,2.02,TRTm,0
2019-07-16,2.02,TRTm,0
2019-07-17,2.02,TRTm,0
2019-07-18,2.02,TRTm,0
2019-07-19,2.0,TRTm,0
2019-07-20,2.0,TRTm,0
2019-07-21,2.0,TRTm,0
2019-07-22,2.0,TRTm,0
2019-07-23,2.0,TRTm,0
2019-07-24,2.0,TRTm,0
2019-07-25,2.0,TRTm,0
2019-07-26,2.0,TRTm,0
2019-07-27,2.0,TRTm,0
2019-07-28,2.0,TRTm,0
2019-07-29,2.0,TRTm,0
2019-07-30,2.0,TRTm,0
2019-07-31,2.0,TRTm,0
2019-08-01,2.0,TRTm,0
2019-08-02,1.98,TRTm,0
2019-08-03,1.98,TRTm,0
2019-08-04,1.98,TRTm,0
2019-08-05,1.98,TRTm,0
2019-08-06,1.98,TRTm,0
2019-08-07,1.98,TRTm,0
2019-08-08,1.98,TRTm,0
2019-08-09,1.93,TRTm,0
2019-08-10,1.93,TRTm,0
2019-08-11,1.93,TRTm,0
2019-08-12,1.93,TRTm,0
2019-08-13,1.93,TRTm,0
2019-08-14,1.93,TRTm,0
2019-08-15,1.93,TRTm,0
2019-08-16,1.88,TRTm,0
2019-08-17,1.88,TRTm,0
2019-08-18,1.88,TRTm,0
2019-08-19,1.88,TRTm,0
2019-08-20,1.88,TRTm,0
2019-08-21,1.88,TRTm,0
2019-08-22,1.88,TRTm,0
2019-08-23,1.88,TRTm,0
2019-08-24,1.88,TRTm,0
2019-08-25,1.88,TRTm,0
2019-08-26,1.88,TRTm,0
2019-08-27,1.88,TRTm,0
2019-08-28,1.88,TRTm,0
2019-08-29,1.88,TRTm,0
2019-08-30,1.87,TRTm,0
2019-08-31,1.87,TRTm,0
2019-09-01,1.87,TRTm,0
2019-09-02,1.87,TRTm,0
2019-09-03,1.87,TRTm,0
2019-09-04,1.87,TRTm,0
2019-09-05,1.87,TRTm,0
2019-09-06,1.87,TRTm,0
2019-09-07,1.87,TRTm,0
2019-09-08,1.87,TRTm,0
2019-09-09,1.87,TRTm,0
2019-09-10,1.87,TRTm,0
2019-09-11,1.87,TRTm,0
2019-09-12,1.87,TRTm,0
2019-09-13,1.91,TRTm,0
2019-09-14,1.91,TRTm,0
2019-09-15,1.91,TRTm,0
2019-09-16,1.91,TRTm,0
2019-09-17,1.91,TRTm,0
2019-09-18,1.91,TRTm,0
2019-09-19,1.91,TRTm,0
2019-09-20,1.91,TRTm,0
2019-09-21,1.91,TRTm,0
2019-09-22,1.91,TRTm,0
2019-09-23,1.91,TRTm,0
2019-09-24,1.91,TRTm,0
2019-09-25,1.91,TRTm,0
2019-09-26,1.91,TRTm,0
2019-09-27,1.92,TRTm,0
2019-09-28,1.92,TRTm,0
2019-09-29,1.92,TRTm,0
2019-09-30,1.92,TRTm,0
2019-10-01,1.92,TRTm,0
2019-10-02,1.92,TRTm,0
2019-10-03,1.92,TRTm,0
2019-10-04,1.9,TRTm,0
2019-10-05,1.9,TRTm,0
2019-10-06,1.9,TRTm,0
2019-10-07,1.9,TRTm,0
2019-10-08,1.9,TRTm,0
2019-10-09,1.9,TRTm,0
2019-10-10,1.9,TRTm,0
2019-10-11,1.86,TRTm,0
2019-10-12,1.86,TRTm,0
2019-10-13,1.86,TRTm,0
2019-10-14,1.86,TRTm,0
2019-10-15,1.86,TRTm,0
2019-10-16,1.86,TRTm,0
2019-10-17,1.86,TRTm,0
2019-10-18,1.85,TRTm,0
2019-10-19,1.85,TRTm,0
2019-10-20,1.85,TRTm,0
2019-10-21,1.85,TRTm,0
2019-10-22,1.85,TRTm,0
2019-10-23,1.85,TRTm,0
2019-10-24,1.85,TRTm,0
2019-10-25,1.8,TRTm,0
2019-10-26,1.8,TRTm,0
2019-10-27,1.8,TRTm,0
2019-10-28,1.8,TRTm,0
2019-10-29,1.8,TRTm,0
2019-10-30,1.8,TRTm,0
2019-10-31,1.8,TRTm,0
2019-11-01,1.75,TRTm,0
2019-11-02,1.75,TRTm,0
2019-11-03,1.75,TRTm,0
2019-11-04,1.75,TRTm,0
2019-11-05,1.75,TRTm,0
2019-11-06,1.75,TRTm,0
2019-11-07,1.75,TRTm,0
2019-11-08,1.81,TRTm,0
2019-11-09,1.81,TRTm,0
2019-11-10,1.81,TRTm,0
2019-11-11,1.81,TRTm,0
2019-11-12,1.81,TRTm,0
2019-11-13,1.81,TRTm,0
2019-11-14,1.81,TRTm,0
2019-11-15,1.75,TRTm,0
2019-11-16,1.75,TRTm,0
2019-11-17,1.75,TRTm,0
2019-11-18,1.75,TRTm,0
2019-11-19,1.75,TRTm,0
2019-11-20,1.75,TRTm,0
2019-11-21,1.75,TRTm,0
2019-11-22,1.75,TRTm,0
2019-11-23,1.75,TRTm,0
2019-11-24,1.75,TRTm,0
2019-11-25,1.75,TRTm,0
2019-11-26,1.75,TRTm,0
2019-11-27,1.75,TRTm,0
2019-11-28,1.75,TRTm,0
2019-11-29,1.8,TRTm,0
2019-11-30,1.8,TRTm,0
2019-12-01,1.8,TRTm,0
2019-12-02,1.8,TRTm,0
2019-12-03,1.8,TRTm,0
2019-12-04,1.8,TRTm,0
2019-12-05,1.8,TRTm,0
2019-12-06,1.8,TRTm,0
2019-12-07,1.8,TRTm,0
2019-12-08,1.8,TRTm,0
2019-12-09,1.8,TRTm,0
2019-12-10,1.8,TRTm,0
2019-12-11,1.8,TRTm,0
2019-12-12,1.8,TRTm,0
2019-12-13,1.77,TRTm,0
2019-12-14,1.77,TRTm,0
2019-12-15,1.77,TRTm,0
2019-12-16,1.77,TRTm,0
2019-12-17,1.77,TRTm,0
2019-12-18,1.77,TRTm,0
2019-12-19,1.77,TRTm,0
2019-12-20,1.78,TRTm,0
2019-12-21,1.78,TRTm,0
2019-12-22,1.78,TRTm,0
2019-12-23,1.78,TRTm,0
2019-12-24,1.78,TRTm,0
2019-12-25,1.78,TRTm,0
2019-12-26,1.78,TRTm,0
2019-12-27,1.77,TRTm,0
2019-12-28,1.77,TRTm,0
2019-12-29,1.77,TRTm,0
2019-12-30,1.77,TRTm,0
2019-12-31,1.77,TRTm,0
2020-01-01,1.77,TRTm,0
2020-01-02,1.77,TRTm,0
2020-01-03,1.9,TRTm,0
2020-01-04,1.9,TRTm,0
2020-01-05,1.9,TRTm,0
2020-01-06,1.9,TRTm,0
2020-01-07,1.9,TRTm,0
2020-01-08,1.9,TRTm,0
2020-01-09,1.9,TRTm,0
2020-01-10,1.87,TRTm,0
2020-01-11,1.87,TRTm,0
2020-01-12,1.87,TRTm,0
2020-01-13,1.87,TRTm,0
2020-01-14,1.87,TRTm,0
2020-01-15,1.87,TRTm,0
2020-01-16,1.87,TRTm,0
2020-01-17,1.86,TRTm,0
2020-01-18,1.86,TRTm,0
2020-01-19,1.86,TRTm,0
2020-01-20,1.86,TRTm,0
2020-01-21,1.86,TRTm,0
2020-01-22,1.86,TRTm,0
2020-01-23,1.86,TRTm,0
2020-01-24,1.89,TRTm,0
2020-01-25,1.89,TRTm,0
2020-01-26,1.89,TRTm,0
2020-01-27,1.89,TRTm,0
2020-01-28,1.89,TRTm,0
2020-01-29,1.89,TRTm,0
2020-01-30,1.89,TRTm,0
2020-01-31,1.8,TRTm,0
2020-02-01,1.8,TRTm,0
